"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"GEORGIOS STILIANOU",Cyprus,100000000,0,,0,2011-12-07
"Ayudantía GIP S Coop",Spain,18000000,0,,0,2012-01-03
"Mainstream Renewable Power",Ireland,11593000,0,,0,2011-09-28
"European Network of Transmission System Operators for Electricity",Belgium,"> 10,000,000",0,,41,2012-02-10
"Josef Frank Consulting",Germany,"> 10,000,000",0,,0,2011-11-22
"Linklaters LLP",Belgium,"> 10,000,000",0,,3,2012-01-30
Taxand,Luxembourg,"> 10,000,000",0,,0,2010-10-29
"Wirtschaftskammer Österreich",Austria,"9750000 - 10000000",0,,36,2010-01-07
Ericsson,Sweden,"8750000 - 9000000",0,,54,2010-01-22
"VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE",Belgium,"8500000 - 8750000",0,,21,2009-02-05
"MSD - Merck Sharp & Dohme","United States","8000000 - 8250000",0,,12,2010-05-14
Burson-Marsteller,Belgium,8055765,0,,6,2008-10-31
"Landmark Public Policy Advisers Europe Ltd","United Kingdom","7500000 - 7750000",0,,1,2011-10-27
"Veolia Environnement Europe Services",France,"7500000 - 7750000",0,,6,2009-02-25
Fleishman-Hillard,Belgium,7121154,0,,29,2009-03-17
"BIPAR - European Federation of Insurance Intermediaries",Belgium,"6000000 - 6250000",0,,0,2009-02-18
"European Chemical Industry Council",Belgium,6000000,0,,123,2009-09-24
"Epilepsy Advocacy Europe",Ireland,"5750000 - 6000000",0,,0,2011-12-22
"Green Business UK Ltd","United Kingdom","5750000 - 6000000",0,,0,2012-01-19
"Schneider Electric",France,"5750000 - 6000000",0,,60,2010-11-25
"DEKRA e.V.",Germany,"5000000 - 5250000",0,,9,2011-03-21
"Social Finance Ltd","United Kingdom","5000000 - 5250000",0,,0,2011-09-05
"ExxonMobil Petroleum & Chemical",Belgium,"4750000 - 5000000",0,,31,2009-01-06
ClientEarth,"United Kingdom",4813709,0,,39,2011-12-21
"APCO Worldwide","United States","4500000 - 4750000",0,,15,2009-02-06
"Microsoft Corporation","United States","4500000 - 4750000",0,,156,2009-01-13
"Hill & Knowlton International Belgium",Belgium,4550000,0,,7,2008-12-22
BUSINESSEUROPE,Belgium,"4000000 - 4250000",0,,292,2009-01-13
"CEMAFROID SNC",France,"4000000 - 4250000",0,,0,2011-12-14
"GDF SUEZ",France,"3750000 - 4000000",0,,71,2011-12-13
"Siemens AG",Germany,3888241,0,,52,2008-12-12
"Hauptverband der Deutschen Bauindustrie",Germany,"3500000 - 3750000",0,,2,2011-11-16
"Verband der Chemischen Industrie e.V.",Germany,3500000,0,,9,2011-11-02
EUROCITIES,Belgium,"3250000 - 3500000",0,,51,2009-12-18
"Kreab Gavin Anderson",Belgium,3441804,0,,65,2008-10-15
"FIPRA International Limited","United Kingdom","3000000 - 3250000",0,,45,2010-10-06
"Bundesverband der Deutschen Industrie e.V.",Germany,3100000,0,,112,2008-12-10
"EUROGAS aisbl",Belgium,3007500,0,,42,2011-07-01
"Edelman Public Relations Worldwide",Belgium,"2750000 - 3000000",0,,20,2012-01-23
"FTI Consulting Belgium",Belgium,"2750000 - 3000000",0,,54,2010-04-01
"Federazione Nazionale dell'Industria Chimica italiana",Italy,"2750000 - 3000000",0,,1,2008-11-25
"G Plus Ltd.","United Kingdom","2750000 - 3000000",0,,44,2008-12-15
"Telekom Austria Group",Austria,"2750000 - 3000000",0,,0,2011-10-18
"cabinet DN consulting sprl",Belgium,"2750000 - 3000000",0,,23,2010-06-02
"Daimler Aktiengesellschaft",Germany,2851500,0,,41,2008-12-18
"Bayer AG",Germany,2525000,0,,38,2008-12-17
"B'nai B'rith",Belgium,"2250000 - 2500000",0,,0,2011-12-09
"BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.",Germany,"2250000 - 2500000",0,,27,2009-03-16
"TOTAL S.A.",France,"2250000 - 2500000",0,,28,2008-12-16
"Weber Shandwick",Belgium,"2250000 - 2500000",0,,22,2009-05-29
"BASF SE",Germany,2300000,0,,35,2008-12-16
"Association des Constructeurs Européens d'Automobiles",Belgium,"2000000 - 2250000",0,,142,2008-12-18
"Brunswick Group LLP","United Kingdom","2000000 - 2250000",0,,17,2010-11-02
"EUROCHAMBRES – Association of European Chambers of Commerce and Industry",Belgium,"2000000 - 2250000",0,,71,2008-12-04
"General Electric Company","United States","2000000 - 2250000",0,,88,2008-12-24
"Hume Brophy",Ireland,"2000000 - 2250000",0,,28,2009-01-07
"E.ON AG",Germany,2119000,0,,44,2011-12-06
"Deutscher Industrie- und Handelskammertag e.V.",Germany,2000000,0,,56,2009-02-20
"Sidehan Otelcilik Turizim İnşaat Kuyumculuk Ticaret Ltd.Şti.",Turkey,2000000,0,,0,2011-10-07
"EVONIK INDUSTRIES AG",Germany,"1750000 - 2000000",0,,6,2008-12-23
"European Network of Transmission System Operators for Electricity",Belgium,"1750000 - 2000000",0,,0,2012-01-09
"Intel Corporation","United States","1750000 - 2000000",0,,22,2008-12-31
"Associazione Italiana Celiachia",Italy,"1500000 - 1999999",0,,0,2011-07-05
"Bureau Européen des Unions de Consommateurs",Belgium,"1500000 - 1999999",0,,196,2008-10-29
"European Cyclists' Federation",Belgium,"1500000 - 1999999",0,,17,2011-04-27
"European Landowners'  Organization asbl",Belgium,"1500000 - 1999999",0,,23,2009-02-25
"European Atomic Forum",Belgium,1971611,0,,11,2008-06-23
"Telefonica, S.A.",Spain,1943000,0,,89,2008-06-23
"RWE AG",Germany,1915000,0,,25,2010-04-15
"Union européenne de l'Artisanat et des petites et moyennes entreprises, aisbl",Belgium,1806915,0,,114,2009-02-20
"CLAN Public Affairs - ESL & Network SA",Belgium,1800000,0,,2,2010-06-09
"Deutsche Post DHL",Germany,1750903,0,,20,2011-01-27
"ARCTURUS GROUP",Belgium,"1500000 - 1750000",0,,14,2011-09-16
"AeroSpace and Defence Industries Association of Europe",Belgium,"1500000 - 1750000",0,,47,2012-01-30
"Ethos Advisors",Germany,"1500000 - 1750000",0,,0,2009-12-30
"European Committee for Interoperable Systems",Belgium,"1500000 - 1750000",0,,6,2011-01-07
"Parti Démocrate Européen des Roms",Belgium,"1500000 - 1750000",0,,0,2011-11-24
"Verband Deutscher Maschinen- und Anlagenbau e.V.",Germany,"1500000 - 1750000",0,,21,2008-11-28
"ΠΑΝΕΛΛΗΝΙΟ ΣΥΝΔΙΚΑΤΟ ΧΕΡΣΑΙΩΝ ΕΜΠΟΡΕΥΜΑΤΙΚΩΝ ΜΕΤΑΦΟΡΩΝ",Greece,"1500000 - 1750000",0,,0,2011-11-10
"BirdLife Europe",Belgium,"1500000 - 1749000",0,,72,2008-12-04
"Euronet Consulting EEIG",Belgium,1695000,0,,0,2011-10-07
"APT ASSOCIAZIONE PRODUTTORI TELEVISIVI",Italy,1500000,0,,0,2011-11-10
"Emanuele De Candia",Italy,"1250000 - 1500000",0,,0,2011-11-05
"European Network Against Racism",Belgium,"1250000 - 1500000",0,,14,2009-12-14
"Interel European Affairs",Belgium,"1250000 - 1500000",0,,11,2008-12-11
"International Swaps and Derivatives Association","United States","1250000 - 1500000",0,,10,2009-02-08
"NAMUALI-Associacao Para Odesenvolvimento da Crianca e Educacao da Rapariga",Mozambique,"1250000 - 1500000",0,,0,2012-02-02
"UNITED INTERNATIONAL CORPORATION",Italy,"1250000 - 1500000",0,,0,2010-10-31
"Deutsche Telekom",Germany,1400000,0,,114,2009-11-06
"ADS Insight",Belgium,"1000000 - 1250000",0,,4,2010-10-08
"Church Council, Evangelical -Lutheran Church of Finland",Finland,"1000000 - 1250000",0,,0,2012-02-16
"Club des organismes de recherche associés",Belgium,"1000000 - 1250000",0,,0,2012-02-13
"Community of European Railway and Infrastructure Companies",Belgium,"1000000 - 1250000",0,,47,2008-07-02
"DAVOS Management Consulting",France,"1000000 - 1250000",0,,0,2011-12-31
EU.select,Germany,"1000000 - 1250000",0,,0,2011-10-04
"EnBW Energie Baden-Württemberg AG",Germany,"1000000 - 1250000",0,,13,2009-06-23
"European Association Automotive Suppliers",Belgium,"1000000 - 1250000",0,,50,2011-05-06
"European Farmers",Belgium,"1000000 - 1250000",0,,149,2009-02-25
"European Insurance and Reinsurance Federation",Belgium,"1000000 - 1250000",0,,51,2010-04-15
"European agri-cooperatives",Belgium,"1000000 - 1250000",0,,127,2009-02-25
Grayling,Belgium,"1000000 - 1250000",0,,6,2010-04-27
"IFPI Representing recording industry worldwide",Belgium,"1000000 - 1250000",0,,65,2009-06-29
"LOGOS Public Affairs",Belgium,"1000000 - 1250000",0,,3,2008-12-16
"Liberty Global, Inc.",Netherlands,"1000000 - 1250000",0,,32,2012-02-02
"Philip Morris International Inc.",Switzerland,"1000000 - 1250000",0,,5,2009-07-07
"Region of Istria",Croatia,"1000000 - 1250000",0,,0,2011-12-13
"Rohde Public Policy",Belgium,"1000000 - 1250000",0,,5,2010-10-01
"Syndicat National de l'Industrie de la nutrition Animale",France,"1000000 - 1250000",0,,0,2011-01-31
"The European Spirits Organisation",Belgium,"1000000 - 1250000",0,,62,2011-11-02
"The Pew Charitable Trusts","United States","1000000 - 1250000",0,,43,2011-10-21
"Vodafone Belgium SA",Belgium,"1000000 - 1250000",0,,117,2010-04-20
"World Council of Nuclear Workers",France,"1000000 - 1250000",0,,0,2012-01-19
"Greenpeace European Unit",Belgium,"1000000 - 1249999",0,,119,2008-10-29
"European Community Shipowner's Associations",Belgium,1088000,0,,29,2011-09-01
"AGE Platform Europe",Belgium,"> 1,000,000",0,,20,2009-07-29
"ASSOCIATION DES AMIDONNIERS ET FECULIERS",Belgium,"> 1,000,000",0,,11,2011-09-01
"Association for Financial Markets in Europe","United Kingdom","> 1,000,000",0,,51,2010-08-04
"Cable Europe",Belgium,1000000,0,,14,2011-11-29
"Confederation of Family Organisations in the European Union",Belgium,"> 1,000,000",0,,15,2011-09-26
"Confederation of Industry, Czech Republic","Czech Republic",1000000,0,,0,2010-12-08
"EUROTARGET, s.r.o.",Slovakia,1000000,0,,0,2011-09-28
"Eurogroup for Animals",Belgium,"> 1,000,000",0,,41,2008-10-10
"Federation of European Securities Exchanges",Belgium,"> 1,000,000",0,,14,2011-08-22
"Fundacja im. Stefana Batorego",Poland,"> 1,000,000",0,,0,2010-08-17
"Fédération des Entreprises Publiques Locales",France,"> 1,000,000",0,,0,2010-09-10
"Fédération des Experts comptables Européens",Belgium,"> 1,000,000",0,,5,2008-09-16
"Gas Infrastructure Europe",Belgium,"> 1,000,000",0,,10,2009-07-28
"ISFE - Representing the European Videogame Industry",Belgium,"> 1,000,000",0,,11,2009-09-28
"ProxyCensus Ltd","United Kingdom",1000000,0,,0,2011-07-12
"THE INTERNATIONAL ORGANISATION OF PERFORMERS' COLLECTING SOCIETIES",Belgium,"> 1,000,000",0,,0,2010-08-14
"Women in Europe for a Common Future",Netherlands,"> 1,000,000",0,,0,2009-07-14
"Zentralverband des Deutschen Handwerks e.V.",Germany,1000000,0,,57,2008-12-15
APRODEV,Belgium,"900000 - 1000000",0,,25,2008-12-01
"Bio3 - Estudos e Projectos em Biologia e Valorização de Recursos Naturais",Portugal,"900000 - 1000000",0,,0,2012-01-26
"Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.",Germany,"900000 - 1000000",0,,47,2008-12-01
EURALIA,Belgium,"900000 - 1000000",0,,1,2009-12-31
"European Women's Lobby",Belgium,"950000 - 1000000",0,,21,2011-09-16
"GSMA Europe",Belgium,"900000 - 1000000",0,,56,2011-12-22
"Gesamtverband der Deutschen Versicherungswirtschaft e.V.",Germany,"900000 - 1000000",0,,29,2008-08-01
"KEA European Affairs",Belgium,"900000 - 1000000",0,,1,2008-07-07
MSLGroup,Belgium,"900000 - 1000000",0,,1,2011-05-12
Neth-ER,Belgium,"900000 - 1000000",0,,10,2011-10-20
"Productschap Vis",Netherlands,"950000 - 1000000",0,,0,2008-07-28
"Russchen Consultants",Belgium,"900000 - 1000000",0,,2,2011-04-26
"The Nordic Association of Marine Insurers",Norway,"900000 - 1000000",0,,0,2009-02-12
"UK Faculty of Public Health","United Kingdom","950000 - 1000000",0,,0,2011-09-30
"asociación dianova españa",Spain,"900000 - 1000000",0,,0,2012-01-20
youthforhumanrights.org,"United States","900000 - 1000000",0,,0,2012-01-27
"Allgemeiner Deutscher Automobil-Club e.V.",Germany,"900000 - 999999",0,,2,2010-07-28
"European Disability Forum",Belgium,"900000 - 999999",0,,30,2010-07-19
"Verbraucherzentrale Bundesverband",Germany,"900000 - 999999",0,,16,2008-12-09
"PA Europe",Belgium,997489,0,,9,2009-11-23
"International Association of Oil & Gas Producers","United Kingdom",987000,0,,31,2008-10-10
"European Cruise Council",Belgium,900000,0,,18,2010-10-07
Statnett,Norway,900000,0,,12,2011-10-05
"TDP PARTNERS",Romania,900000,0,,0,2011-11-18
"CARE International Switzerland",Sudan,"800000 - 900000",0,,0,2011-12-04
"Change s.p.r.l.",Belgium,"800000 - 900000",0,,0,2009-10-22
"Confederazione Generale dell'Industria Italiana",Italy,"850000 - 900000",0,,73,2009-06-04
"Deutscher Sparkassen-und Giroverband",Germany,"800000 - 900000",0,,39,2011-01-06
"Digital Interoperability Forum","United Kingdom","800000 - 900000",0,,0,2012-02-01
"Dow Europe",Switzerland,"800000 - 900000",0,,51,2009-02-05
"European Banking Federation",Belgium,"800000 - 900000",0,,46,2008-12-19
"European Broadcasting Union - Union Européenne de Radio-Télévision AISBL",Belgium,"800000 - 900000",0,,41,2009-04-30
"European Hydrogen Association",Belgium,"800000 - 900000",0,,0,2009-02-26
"European Women’s Lobby/Lobby européen des femmes",Belgium,"800000 - 900000",0,,0,2008-12-01
"Experian plc",Ireland,"800000 - 900000",0,,0,2012-02-13
"Famiglia di Therese",Italy,"800000 - 900000",0,,0,2011-12-09
GlaxoSmithKline,"United Kingdom","800000 - 900000",0,,11,2009-01-06
"IBM Corporation","United States","800000 - 900000",0,,115,2009-01-08
"IFAW Internationaler Tierschutz-Fonds gGmbH",Germany,"850000 - 900000",0,,9,2009-09-25
