"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"BEITEN BURKHARDT",Belgium,"> 10,000,000",0,,0,2012-03-08
"Bird & Bird LLP","United Kingdom","> 10,000,000",0,,0,2013-05-16
"BAPCERES David",France,"1250000 - 1500000",1,,0,2013-01-30
"DOBRZYNIECKI & PARTNERS LAW OFFICE","United Kingdom","1250000 - 1500000",0,,0,2011-07-03
"Alber & Geiger",Germany,"700000 - 800000",0,,7,2011-09-19
"Becker Büttner Held",Germany,"350000 - 400000",0,,0,2013-09-04
"Giulio Marini",Italy,350000,1,,0,2011-08-04
"Avvocato Davide Belloni",Italy,"150000 - 200000",0,,0,2011-02-21
"STUDIO LEGALE LAMBERTI",Italy,150000,0,,0,2013-09-02
"Erwan H. LE CORNEC",France,"100000 - 150000",0,,0,2013-11-25
"Associação dos Juizes Arbitrais e de Paz Eclesiásticos do Brasil",Brazil,100000,0,,0,2012-05-23
"Advokatfirman Öberg & Associés AB",Sweden,"50000 - 100000",0,,0,2011-02-14
"Avv. Stefano Garbarino",Italy,"50000 - 100000",0,,0,2011-02-01
CARPENTIER,France,"50000 - 100000",0,,0,2013-09-23
"Linklaters LLP",Belgium,"50000 - 100000",3,,3,2012-01-30
"NCTM Studio Legale Associato",Italy,"50000 - 100000",4,,1,2012-06-26
"Rechtsanwaelte Reiser & Coll.",Germany,"50000 - 100000",0,,0,2012-05-06
"STUDIO P.CENTORE E ASSOCIATI",Italy,"50000 - 100000",0,,0,2012-07-24
"Studio Legale Crema",Italy,"50000 - 100000",0,,0,2011-10-06
"ALTHEIS LTD","United Kingdom",64709,0,,0,2011-10-12
"FRANCESCO PAOLA",Italy,60000,0,,0,2013-05-16
"Iurismatica Abogados S.L.P.",Spain,60000,0,,0,2011-10-10
ANTHIAN-SARBATX,France,"< 50,000",0,,0,2013-12-02
"Advokatfirmaet Frederik Madsen",Denmark,"< 50,000",0,,0,2008-09-29
"Alinea, Avocats à la Cour, SELARL",France,"< 50,000",0,,3,2012-10-05
"Avv. Gianni Marco Di Paolo",Italy,"< 50,000",0,,1,2013-09-19
"Avv. Pierluigi Piselli",Italy,"< 50,000",0,,0,2013-10-03
"Avvocato Alberto Cozzo",Italy,"< 50,000",0,,0,2009-05-14
BORENIUS,Lithuania,"< 50,000",0,,0,2013-10-02
"Cabinet d'Avocats OLSZAKOWSKI",France,"< 50,000",0,,0,2013-12-04
"DS Avocats A.A.R.P.I",France,"< 50,000",0,,0,2013-10-31
"Distefano Law Office",Belgium,"< 50,000",0,,0,2013-10-03
"Dr. Oliver Sude",Germany,"< 50,000",1,,0,2013-03-20
"Epure, Lizac & Associates SCA",Romania,"< 50,000",0,,0,2013-04-16
"Estudi Jurídic Ambiental, S.L.P.",Spain,"< 50,000",0,,0,2012-01-09
"FAU Bernard",France,"< 50,000",0,,0,2013-02-15
"GIANLUIGI GRILLO",Italy,"< 50,000",0,,0,2011-11-20
"Galasso Carlo Filippo",Italy,"< 50,000",1,,0,2012-07-03
"Graf von Westphalen",Germany,50000,0,,0,2012-01-30
"Hakima BenAzzouz",Belgium,"< 50,000",0,,0,2013-02-04
JEANTETASSOCIES,France,"< 50,000",0,,0,2010-05-10
LAWIN,Lithuania,"< 50,000",0,,0,2012-11-26
"MENA Chambers",Belgium,"< 50,000",0,,0,2013-02-25
"MIQUEL ANGEL VALLES BLISTIN",Spain,"< 50,000",0,,0,2012-07-11
"NGO COHEN AMIR-ASLANI & Associés - Cabinet d'avocats",France,"< 50,000",0,,0,2013-03-28
"RICCARDO ERNESTO DI VIZIO",Italy,"< 50,000",0,,0,2012-01-17
"Rechtsanwalt Alexander Anton",Belgium,"< 50,000",0,,0,2012-01-09
"SALESAS TRES CENTRO DE ESTUDIOS",Spain,"< 50,000",0,,18,2013-02-27
Stoffregen,Belgium,"< 50,000",0,,0,2011-07-13
"bxl-law SPRL",Belgium,"< 50,000",0,,0,2013-01-18
"SERVICE INTERNATIONAL DES DROITS DES L'HOMME",Belgium,12000,0,,0,2013-02-12
"OTEROLEGAL international",Belgium,1000,1,,0,2013-08-29
"& De Bandt Advocaten | Avocats | Attorneys | Rechtsanwälte",Belgium,0,0,,0,2011-10-13
"Avv. Dr. Alessandro Amicarelli",Italy,0,0,,0,2011-12-20
"Baker & McKenzie Partnerschaft von Rechtsanwälten, Steuerberatern, Wirtschaftsprüfern und Solicitors",Germany,0,0,,1,2012-09-12
"Dierks+Bohle Rechtsanwälte",Germany,0,0,,0,2011-01-14
"Kober Smith Associates LLP","United Kingdom",0,0,,0,2013-05-06
"QUAKERS AND KINDRED ANIMALS","United Kingdom",0,0,,0,2009-09-27
"Rechtsanwalt Dr. Anton Schaefer",Austria,0,0,,0,2012-09-02
"Taj, Société d’Avocats",France,0,0,,0,2013-05-03
"contrast, European & Business Law",Belgium,0,0,,0,2009-09-16
