"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Banana Growers Association, Belize",Belize,5800000,0,0.25,2,2015-11-11
ClientEarth,"United Kingdom",4813709,11,54,39,2011-12-21
"Plan International España",Spain,4745774,0,35,1,2015-02-03
EUROCITIES,Belgium,"4000000 - 4249999",15,30,51,2009-12-18
"JA Europe",Belgium,"4000000 - 4249999",3,10,11,2015-07-07
"Europäisches Zentrum für Arbeitnehmerfragen",Germany,4000000,2,9.75,6,2015-04-20
"Social Impact gGmbH",Germany,3000000,0,3.25,0,2015-03-13
CD2E,France,"2750000 - 2999999",0,20,0,2015-08-20
"Conference of Peripheral Maritime Regions (CRPM)",France,"2750000 - 2999999",2,22,26,2008-11-28
"Transport and Environment (European Federation for Transport and Environment)",Belgium,"2750000 - 2999999",14,16.25,162,2010-02-22
"AGENZIA PER LA PROMOZIONE DELLA RICERCA EUROPEA",Italy,2511526,0,1.5,3,2015-10-29
"European Environmental Bureau",Belgium,"2250000 - 2499999",8,17,101,2009-03-06
"Non Profit Enterprise and Self-sustainability Team","United States","2250000 - 2499999",0,10,0,2015-03-02
"Open Society European Policy Institute",Belgium,"2250000 - 2499999",14,19.75,61,2008-08-21
"Bureau Européen des Unions de Consommateurs",Belgium,"1500000 - 1999999",21,16.5,197,2008-10-29
"European Cyclists' Federation",Belgium,"1750000 - 1999999",5,14.75,17,2011-04-27
"European Landowners'  Organization asbl",Belgium,"1500000 - 1999999",5,15,24,2009-02-25
"European Partnership for Democracy",Belgium,"1750000 - 1999999",0,3,7,2014-08-18
"European Youth Forum",Belgium,"1500000 - 1749000",10,25.5,36,2012-01-18
"International Crisis Group",Belgium,"1500000 - 1749000",0,10.25,12,2009-05-10
"Stichting BirdLife Europe",Netherlands,"1500000 - 1749000",6,15,72,2008-12-04
"The Pew Charitable Trusts","United States","1500000 - 1749000",9,25,43,2011-10-21
"King Baudouin Foundation",Belgium,"1250000 - 1499999",0,2,0,2015-05-29
"Sociedade Portuguesa para o Estudo das Aves",Portugal,"1250000 - 1499999",0,2,1,2015-02-19
"Vlaamse federatie van beschutte werkplaatsen",Belgium,1300000,0,3,0,2015-03-15
"Conseil des Notariats de l'Union Européenne",Belgium,"1000000 - 1249999",3,5.75,4,2011-08-26
"Copyright and Communication Consulting Agency/ Latvian Authors Association",Latvia,"1000000 - 1249999",0,31,0,2015-10-27
"European Women's Lobby",Belgium,"1000000 - 1249999",7,4,21,2011-09-16
"Greenpeace European Unit",Belgium,"1000000 - 1249999",12,7.25,119,2008-10-29
"Stichting Nederland Maritiem Land",Netherlands,"1000000 - 1249999",0,3.25,0,2015-06-18
"Transparency International",Germany,"1000000 - 1249999",8,12,47,2008-06-23
"WWF European Policy Programme",Belgium,"1000000 - 1249999",11,12.75,156,2008-09-23
"CNME Maastricht en regio",Netherlands,1200500,0,14.75,0,2015-06-02
"Albanian-American Development Foundation",Albania,1200000,0,12,1,2015-04-29
Neth-ER,Belgium,1002952,3,9.5,10,2011-10-20
"Baltic Sea Music Education Foundation e. V.",Germany,1000000,0,2,1,2015-06-12
"Allgemeiner Deutscher Automobil-Club e.V.",Germany,"900000 - 999999",0,6.5,2,2010-07-28
"Asociacija LATGA",Lithuania,"900000 - 999999",0,35,0,2015-08-24
"Association of Issuing Bodies","United Kingdom","900000 - 999999",0,2.5,3,2015-07-20
"Baltic Organisations' Network for Funding Science EEIG",Finland,"900000 - 999999",0,7.25,0,2008-12-29
"Caritas Europa",Belgium,"900000 - 999999",9,9.75,24,2009-01-06
"European Disability Forum",Belgium,"900000 - 999999",5,10,30,2010-07-19
"European Endowment for Democracy",Belgium,"900000 - 999999",0,2.5,5,2015-04-24
"Federation of Associations for Hunting & Conservation of the EU",Belgium,"900000 - 999999",5,11.5,22,2009-02-20
"Verbraucherzentrale Bundesverband",Germany,"900000 - 999999",14,140,16,2008-12-09
"Instytut Auschwitz Na Rzecz Pokoju I Pojednania",Poland,966447,0,9,0,2015-03-04
"Ensemble contre la peine de mort",France,964144,0,9,1,2015-07-09
"European Environmental Citizens' Organisation for Standardisation",Belgium,900516,3,12,7,2010-05-21
"ACT Alliance Advocacy to the European Union",Belgium,"800000 - 899999",6,9,25,2008-12-01
"Amnesty International European Institutions Office",Belgium,"800000 - 899999",9,7.75,54,2012-02-29
"Climate Action Network Europe",Belgium,"800000 - 899999",10,11.75,103,2009-02-11
"Film- och TV-branschens Samarbetskommitté",Sweden,"800000 - 899999",0,1,2,2014-03-04
"International Union for Conservation of Nature EU Representative Office",Belgium,"800000 - 899999",3,7.5,29,2012-04-03
"Slow Food",Italy,"800000 - 899999",1,10,17,2010-11-29
"European co-operation for Accreditation",France,870000,0,0.25,0,2015-09-11
"Liga para a Protecção da Natureza",Portugal,846648,0,26.75,1,2015-05-19
"Friends of the Earth Europe",Belgium,833267,9,4.5,70,2008-09-12
"European Peacebuilding Liaison Office",Belgium,805636,3,9.25,3,2009-01-02
"Associação de Melhoramentos e Bem Estar Social de Pias",Portugal,800000,0,1,0,2015-04-28
"European Federation of Animal Science",Italy,"700000 - 799999",0,2,1,2015-12-01
"UK Health Forum","United Kingdom","700000 - 799999",0,6.75,0,2015-09-28
"Sociale InnovatieFabriek",Belgium,780000,0,7,0,2015-03-15
"Fundacion CitizenGO",Spain,779000,0,21,0,2015-12-02
"Association pour le Développement des Initiatives Citoyennes et Européennes",France,740000,0,8,0,2015-08-05
"Asociación Dominicana de Productores de Banano","Dominican Republic",700000,0,5,2,2015-11-13
"Association Internationale de la Mutualité",Belgium,"600000 - 699999",4,5,13,2014-02-28
"EUROPA DONNA-The European Breast Cancer Coalition",Italy,"600000 - 699999",0,3.75,1,2009-02-13
"European Council on Refugees and Exiles",Belgium,"600000 - 699999",0,8.5,3,2009-08-19
"European Institute of Peace",Belgium,"600000 - 699999",5,11.25,9,2015-05-07
"European Olympic Committees EU Office",Belgium,"600000 - 699999",4,7,15,2012-12-18
"European Union National Institutes of Culture",Belgium,"600000 - 699999",0,2.5,1,2015-07-14
"Finance Watch",Belgium,"600000 - 699999",8,3.25,12,2011-10-05
"IFAW Internationaler Tierschutz-Fonds gGmbH",Germany,"600000 - 699999",3,6,9,2009-09-25
"Stichting PSI-Europe",Netherlands,"600000 - 699999",0,7,2,2015-03-31
"DERECHOS DE AUTOR DE MEDIOS AUDIOVISUALES ENTIDAD DE GESTION",Spain,678550,0,0.5,0,2015-10-01
"THE AUTHORITY FOR TELEVISION ON DEMAND LIMITED","United Kingdom",662927,0,0.25,0,2015-09-28
"European Documentary Network",Denmark,654943,0,5.5,0,2015-04-17
"FILMJUS Hungarian Society for the Protection of Audio-visual Authors’ and Producers’ Rights",Hungary,650000,0,2,0,2015-10-26
"Dianova International",Spain,608784,0,1.75,0,2015-10-29
"WeForest (asbl)",Belgium,600269,0,10,0,2015-06-17
"Academia Europaea [The Academy of Europe]","United Kingdom","500000 - 599999",0,1.5,1,2015-06-24
"DSW (Deutsche Stiftung Weltbevoelkerung)",Germany,"500000 - 599999",6,6.25,19,2011-01-04
"EUROPARC Federation",Germany,"500000 - 599999",0,1,4,2009-09-21
"European Festivals Association",Belgium,"500000 - 599999",0,2,11,2015-03-04
"European Money Markets Institute",Belgium,"500000 - 599999",3,0.5,1,2010-09-17
FERN,Belgium,"500000 - 599999",2,11.75,33,2011-01-25
"International Financial Reporting Standards (IFRS) Foundation","United Kingdom","500000 - 599999",0,15,8,2015-04-07
ONE,Belgium,"500000 - 599999",11,10,30,2011-12-06
"Stichting Meldpunt ter bestrijding van Kinderporno op het Internet",Netherlands,"500000 - 599999",0,7.5,0,2015-09-30
"The NHS Confederation","United Kingdom","500000 - 599999",3,5,0,2011-09-23
"Transports Développement Intermodalité Environnement - Voyageurs et Marchandises",France,"500000 - 599999",0,0.25,1,2015-11-27
"European Alcohol Policy Alliance",Belgium,575114,2,2,16,2011-09-13
"European Network of Living Labs",Belgium,574703,0,4.5,0,2015-09-04
"IDAY International",Belgium,573352,1,5.5,0,2015-06-17
"American Insurance Association","United States",560000,0,1.25,1,2015-11-12
"Gesellschaft für Medienpädagogik und Kommunikationskultur e.V.",Germany,530000,0,0.5,0,2015-09-23
"Transatlantic Policy Network",Belgium,519850,0,1.5,5,2015-01-27
"Europe Unlimited",Belgium,500000,0,1.25,3,2015-06-18
"ADF International",Austria,"400000 - 499999",10,3.5,0,2010-08-20
"Action for Teens",Belgium,"400000 - 499999",0,1.75,0,2011-09-08
"ECDL Foundation",Ireland,"400000 - 499999",3,3,4,2009-10-07
"European Internet Forum",Belgium,"400000 - 499999",3,3,1,2013-06-27
"European University Foundation - Campus Europae",Luxembourg,"400000 - 499999",3,3.25,0,2014-10-03
"Government To You",Belgium,"400000 - 499999",1,3.75,0,2014-02-03
"Human Rights Watch","United States","400000 - 499999",2,3,26,2012-05-21
"Inclusion Europe",Belgium,"400000 - 499999",0,4.5,0,2015-11-04
"Ribiška zveza Slovenije",Slovenia,"400000 - 499999",0,0.25,0,2015-07-24
"The Mossawa Center",Israel,"400000 - 499999",0,0.5,2,2015-05-03
"WILDLIFE CONSERVATION SOCIETY-EUROPE","United Kingdom","400000 - 499999",0,1.5,1,2011-02-17
"European Federation of Nurses Associations",Belgium,480070,3,4,10,2010-01-06
"Collaborative Labelling and Appliance Standards Program","United States",475000,0,1.75,0,2015-12-01
"International Dalit Solidarity Network",Denmark,459722,0,0.5,0,2015-08-17
"Kofi Annan Foundation",Switzerland,454000,0,0.5,9,2015-03-05
"European Society for Paediatric Oncology",Belgium,450364,1,2,6,2015-03-13
