"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Sagardoy Abogados",Spain,1771645108,0,6.25,0,2016-12-05
"Svenska kyrkan",Sweden,282892231,0,0.5,2,2016-12-07
"National Authority for Management and Regulation in Communications of Romania",Romania,35406303,0,5,0,2016-06-03
"FUNDACIÓ EURECAT",Spain,24400000,0,28,0,2016-07-01
"Statens väg och transportforskningsinstitut",Sweden,22527445,0,50,0,2016-12-30
"I.R.I.S. Solutions & Experts S.A.",Belgium,19643244,0,0.25,1,2016-12-28
"European Chemical Industry Council",Belgium,10220000,25,44.25,123,2009-09-24
"Aristotle University of Thessaloniki",Greece,"> 10,000,000",0,0.25,0,2016-11-16
"Empresa Municipal de Transportes de Madrid S.A",Spain,"> 10,000,000",0,0.5,0,2016-12-21
"Fundación ECOLEC",Spain,"> 10,000,000",0,0.5,0,2016-09-07
"IRG Advisors LLP","United Kingdom","> 10,000,000",0,290,1,2015-03-27
"Iarnrod Eireann Irish Rail",Ireland,"> 10,000,000",0,0.75,0,2016-12-21
Minakem,France,"> 10,000,000",0,15,0,2016-10-29
"Search for Common Ground",Belgium,"> 10,000,000",0,2.5,9,2016-12-09
"Vrije Universiteit Brussel",Belgium,"> 10,000,000",0,170.5,2,2016-12-19
"European Forest Institute",Finland,"9750000 - 9999999",5,53.25,22,2012-10-22
"Oxfam-Magasins du Monde",Belgium,9804000,0,0.25,1,2016-11-08
customs4trade,Belgium,"9000000 - 9249999",0,10,0,2015-02-10
"AGRICORD vzw",Belgium,"8750000 - 8999999",0,5,2,2011-01-31
"JA Europe",Belgium,"8000000 - 8249999",3,10,11,2015-07-07
"Fundación Corporación Tecnológica de Andalucía",Spain,8150022,0,4.25,0,2016-06-21
"Netcad Software Company",Turkey,8000000,0,7.5,0,2015-05-28
"Lindholmen Science Park",Sweden,"7750000 - 7999999",0,0.25,0,2016-12-22
"EUROCHAMBRES – Association of European Chambers of Commerce and Industry",Belgium,7600000,9,18.5,71,2008-12-04
"Association for Financial Markets in Europe","United Kingdom","7250000 - 7499999",7,26,51,2010-08-04
"Insurance Europe",Belgium,"7250000 - 7499999",19,40.5,51,2010-04-15
"ANTIPOLLUTION S.A.",Greece,"6750000 - 6999999",0,2.5,0,2016-11-07
"Câmara Municipal de Ponta Delgada",Portugal,"6250000 - 6499999",0,2.5,0,2015-03-12
"European Centre for Development Policy Management",Netherlands,"6250000 - 6499999",2,62.75,4,2015-01-22
Fleishman-Hillard,Belgium,"6250000 - 6499999",60,26.5,29,2009-03-17
"European Council on Foreign Relations","United Kingdom","5500000 - 5749000",0,35,14,2015-01-14
"European Federation of Pharmaceutical Industries and Associations",Luxembourg,5442760,6,17.75,91,2009-03-04
Burson-Marsteller,Belgium,"5000000 - 5249999",29,35,6,2008-10-31
"The Brookings Institution","United States","5000000 - 5249999",0,14.25,6,2015-05-18
"Wilton Park Executive Agency","United Kingdom",5217609,0,50,0,2016-06-15
EUROCITIES,Belgium,"4750000 - 4999999",15,30,51,2009-12-18
"ExxonMobil Petroleum & Chemical",Belgium,"4750000 - 4999999",5,8,31,2009-01-06
"Forest Peoples Programme","United Kingdom","4750000 - 4999999",0,19.75,3,2016-04-05
