"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Federazione Italiana Giuoco Calcio",Italy,144306566,0,1,0,2017-08-04
"Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas",Spain,34777770,0,5,1,2012-03-01
"Business and Strategies in Europe",Belgium,19724690,0,5,0,2017-02-01
"Svenska kyrkan",Sweden,13087511,0,0.5,2,2016-12-07
"European Chemical Industry Council",Belgium,12300000,27,47,123,2009-09-24
"Unisystems Systèmes Informatiques",Greece,"> 10,000,000",2,1.5,0,2018-10-15
"JA Europe",Belgium,7776887,4,12,11,2015-07-07
"Instituto de Telecomunicações",Portugal,7339567,0,25,0,2016-09-06
"European Council on Foreign Relations","United Kingdom","6750000 - 6999999",0,18,14,2015-01-14
"FTI Consulting Belgium","United States","6750000 - 6999999",37,48,54,2010-04-01
Fleishman-Hillard,Belgium,"6750000 - 6999999",71,27.75,29,2009-03-17
"Stiftung Mercator",Germany,"6750000 - 6999999",0,1,1,2015-02-25
"Insurance Europe",Belgium,"6500000 - 6749000",25,35,51,2010-04-15
Burson-Marsteller,Belgium,"6250000 - 6499999",45,28,6,2008-10-31
"European Centre for Development Policy Management",Netherlands,"6250000 - 6499999",0,37,4,2015-01-22
"The Brookings Institution","United States","6250000 - 6499999",0,19.75,6,2015-05-18
Google,"United States","6000000 - 6249999",9,8.5,264,2011-03-29
"Fundación Tekniker",Spain,"5500000 - 5749000",0,91.5,0,2012-01-24
"European Federation of Pharmaceutical Industries and Associations",Luxembourg,5503206,11,15.75,91,2009-03-04
Altroconsumo,Italy,"5000000 - 5249999",0,2,2,2009-01-13
"Interel European Affairs",Belgium,"5000000 - 5249999",27,25.5,11,2008-12-11
"Microsoft Corporation","United States","5000000 - 5249999",6,8,156,2009-01-13
Bruegel,Belgium,4939108,0,29,16,2018-05-23
EUROCITIES,Belgium,"4500000 - 4749000",17,22,51,2009-12-18
"Shell Companies",Netherlands,"4500000 - 4749000",8,10.25,80,2012-04-18
"Association for Financial Markets in Europe","United Kingdom","4250000 - 4499999",6,23.25,51,2010-08-04
"Teneo cabinet DN","United States","4250000 - 4499999",26,30,23,2010-06-02
"Verband Deutscher Maschinen- und Anlagenbau e.V.",Germany,"4250000 - 4499999",3,23.25,21,2008-11-28
"Verband der Chemischen Industrie e.V.",Germany,"4250000 - 4499999",7,27,9,2011-11-02
BUSINESSEUROPE,Belgium,"4000000 - 4249999",30,30,292,2009-01-13
"European Banking Federation",Belgium,"4000000 - 4249999",20,15.5,46,2008-12-19
"Irish Congress Trade Unions",Ireland,"4000000 - 4249999",0,0.75,2,2014-07-02
"Bertelsmann Stiftung",Germany,"3750000 - 3999999",0,15,29,2011-04-20
"ExxonMobil Petroleum & Chemical",Belgium,"3750000 - 3999999",7,5.75,31,2009-01-06
"European Road Transport Telematics Implementation Coordination Organisation-Intelligent Transport Systems & Services Europe",Belgium,"3500000 - 3749000",0,30,4,2009-11-18
"Friends of Europe",Belgium,"3500000 - 3749000",0,26.5,44,2011-09-23
"IBON International Foundation, Inc.",Philippines,"3500000 - 3749000",0,9,0,2016-12-08
Kreab,Sweden,"3500000 - 3749000",33,30,65,2008-10-15
"European Environmental Bureau",Belgium,"3250000 - 3499999",11,19.75,101,2009-03-06
"BASF SE",Germany,3300000,10,11.75,35,2008-12-16
"Dow Europe GmbH",Switzerland,"3000000 - 3249999",2,5,51,2009-02-05
"Equinor ASA",Norway,"3000000 - 3249999",5,7.5,51,2009-01-19
"European Fund and Asset Management Association",Belgium,"3000000 - 3249999",11,10.25,6,2008-11-28
"Siemens AG",Germany,3230419,14,12,52,2008-12-12
"BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.",Germany,"2750000 - 2999999",7,13.75,27,2009-03-16
"BP p.l.c.","United Kingdom","2750000 - 2999999",4,5.25,43,2008-11-14
"Bundesverband der Deutschen Industrie e.V.",Germany,"2750000 - 2999999",16,21,112,2008-12-10
"Bundesverband Öffentlicher Banken Deutschlands",Germany,"2750000 - 2999999",5,19,21,2009-01-07
"Cobalt Institute","United Kingdom","2750000 - 2999999",0,11.5,4,2015-02-10
"European Youth Forum",Belgium,"2750000 - 2999999",16,30.5,36,2012-01-18
"GEIE des Utilisateurs d'ERTMS",Belgium,"2750000 - 2999999",0,10,0,2013-09-03
"General Electric Company","United States","2750000 - 2999999",2,7.5,88,2008-12-24
"IDIADA Automotive Technology, S.A",Spain,"2750000 - 2999999",0,3.75,0,2016-11-02
"INSTITUTO NACIONAL DE INVESTIGACIÓN Y TECNOLOGÍA AGRARIA Y ALIMENTARIA",Spain,"2750000 - 2999999",0,7.5,0,2016-10-17
"Dipartimento di Epidemiologia",Italy,2800000,0,37.75,0,2015-12-28
"Huawei Technologies",China,2800000,7,9.25,63,2013-06-25
"APCO Worldwide","United States","2500000 - 2749000",26,8.5,15,2009-02-06
"Bundesverband deutscher Banken e.V.",Germany,"2500000 - 2749000",2,18,51,2008-09-05
"Centro Tecnológico del Mar - Fundación CETMAR",Spain,"2500000 - 2749000",0,39,0,2016-05-31
"EUTOP Europe GmbH",Germany,"2500000 - 2749000",23,16,0,2016-12-22
"G Plus Ltd","United Kingdom","2500000 - 2749000",25,13.25,44,2008-12-15
"Gesamtverband der Deutschen Versicherungswirtschaft e.V.",Germany,"2500000 - 2749000",8,11,29,2008-08-01
Grayling,Belgium,"2500000 - 2749000",14,21,6,2010-04-27
"Deutsche Bank AG",Germany,2744000,4,5.5,75,2013-05-30
"Volkswagen Aktiengesellschaft",Germany,2737500,5,15.25,77,2009-01-15
"Deutscher Industrie- und Handelskammertag e.V.",Germany,2568000,16,17,56,2009-02-20
"Verband der Automobilindustrie",Germany,2500000,3,14,50,2010-12-14
"BVI Bundesverband Investment und Asset Management e.V.",Germany,"2250000 - 2499999",4,10,18,2010-09-14
"British American Tobacco","United Kingdom","2250000 - 2499999",6,2.25,2,2009-01-21
"Brunswick Group LLP","United Kingdom","2250000 - 2499999",22,14.25,17,2010-11-02
"Bureau Européen des Unions de Consommateurs",Belgium,"2250000 - 2499999",27,25.5,196,2008-10-29
"Daimler Aktiengesellschaft",Germany,"2250000 - 2499999",4,7.75,41,2008-12-18
"European Policy Centre",Belgium,"2250000 - 2499999",0,29.5,49,2009-01-22
"Facebook Ireland Limited",Ireland,"2250000 - 2499999",9,7.25,164,2012-01-25
FuelsEurope,Belgium,"2250000 - 2499999",8,10.5,35,2010-12-08
"Hill & Knowlton International Belgium",Belgium,"2250000 - 2499999",12,12.75,7,2008-12-22
