"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Agalloco & Associates Inc","United States","100000 - 199999",0,3,0,2018-02-07
"Elisabeth Opie, trading as the Office of Elisabeth Opie",Germany,"100000 - 199999",0,5.5,0,2018-05-29
"Smart Business Diplomacy",Belgium,"100000 - 199999",1,1,0,2011-05-07
ALTERTOX,Belgium,"50000 - 99999",0,0.5,0,2014-04-29
"Aamu associates",Belgium,"50000 - 99999",0,1,0,2019-03-15
"Aboubakar COULIBALY","Ivory Coast","50000 - 99999",0,1,0,2019-04-02
"Acceleratio B.V.",Netherlands,"50000 - 99999",0,1,0,2016-09-29
"Acustica Limited","United Kingdom","50000 - 99999",0,1,0,2017-10-17
"Aviation Strategy & Concepts",Belgium,"50000 - 99999",1,2,3,2012-08-23
"BMGindroz Consulting",Switzerland,"50000 - 99999",0,1,0,2016-10-04
"Bartholomew Advisors SCS",Belgium,"50000 - 99999",1,1,5,2013-08-21
"Better Europe",Belgium,"50000 - 99999",1,1.25,1,2017-03-14
"Cultivate Partners",Belgium,"50000 - 99999",0,1,1,2018-09-12
"Cynthia Fürste Consulting",Belgium,"50000 - 99999",0,0.75,0,2019-03-12
Djitrek,Netherlands,"50000 - 99999",0,0.25,0,2020-02-27
"Dr Graeme Sweeney",Belgium,"50000 - 99999",0,1,1,2018-05-10
"Gray EU",Belgium,"50000 - 99999",0,1,0,2018-05-18
"HS Data Analysis and Consultancy",Germany,"50000 - 99999",0,0.5,0,2016-08-16
"IPK European Strategy Ltd","United Kingdom","50000 - 99999",0,1,1,2018-04-23
"IXL Editorial Limited",Ireland,"50000 - 99999",0,0.5,0,2019-05-14
"Kristian Petrick",Spain,"50000 - 99999",0,1,0,2018-03-07
"LUCA ZENOBI",Italy,"50000 - 99999",1,1,0,2020-04-10
"Lejeune Consulting",Germany,"50000 - 99999",1,1,0,2015-01-29
"MLBC Consulting",Belgium,"50000 - 99999",0,1,0,2019-03-06
"MP-Public Affairs",Belgium,"50000 - 99999",0,1,0,2019-09-16
"OD Communications",Ireland,"50000 - 99999",0,1,1,2018-05-15
"Pulse Europe Policy & Communications SPRL",Belgium,"50000 - 99999",1,1,0,2015-05-08
"Regulatory Communication",Netherlands,"50000 - 99999",0,1,0,2015-06-16
"Robert VIERHOUT",Belgium,"50000 - 99999",1,0.75,0,2014-10-28
"STRATEGY & REGULATION",France,"50000 - 99999",0,1,0,2017-07-24
"Schuman European Affairs",Belgium,"50000 - 99999",0,1,0,2019-04-09
"The Fullilove Consulting Group","United States","50000 - 99999",0,1,0,2009-02-10
"Timothée Fechner",Belgium,"50000 - 99999",0,1,0,2018-05-05
"WMC BV",Netherlands,"50000 - 99999",0,0.75,0,2020-12-24
"nv Degusch",Belgium,"50000 - 99999",0,0.75,1,2018-10-23
"Eugen Egetenmeir",Germany,60000,0,0.5,1,2019-07-08
"Europe Matters",Belgium,50000,0,0.5,0,2019-04-05
"Africa Paid",Senegal,"25000 - 49999",1,0.75,0,2017-03-14
"Anemone Technology",Denmark,"25000 - 49999",0,0.25,0,2017-08-30
"Anja Siegemund",Belgium,"25000 - 49999",1,1,0,2011-09-11
"Bastien Farges",France,"25000 - 49999",0,1,0,2018-08-18
CMPA,Belgium,"25000 - 49999",0,1.5,0,2019-03-28
"Cabinet Bob Schmitz",Belgium,"25000 - 49999",1,1,1,2012-11-18
Cerulogy,"United Kingdom","25000 - 49999",0,0.5,0,2020-11-12
"Christopher Irwin","United Kingdom","25000 - 49999",0,0.25,0,2009-03-20
"Communications Concept Solution",Germany,"25000 - 49999",0,1,0,2020-11-11
"Consumer Packaging Manufacturers Alliance","United Kingdom","25000 - 49999",0,2,0,2016-10-24
"Diane Luquiser",Belgium,"25000 - 49999",0,1,0,2016-06-13
"E J Consultants (London) Limited","United Kingdom","25000 - 49999",0,1,0,2015-02-02
EXPAND,"United States","25000 - 49999",0,1,1,2017-08-06
"GATE BRUSSELS Paweł Wróbel",Poland,"25000 - 49999",0,1,0,2020-01-22
"GIGLIO & Partners",Italy,"25000 - 49999",0,0.5,0,2010-01-06
Graywise,Belgium,"25000 - 49999",0,1,0,2020-06-18
"HORACIO GONZALEZ ALEMAN",Spain,"25000 - 49999",0,1.5,0,2015-01-28
"IF Steelman",France,"25000 - 49999",0,1,0,2018-01-10
"James Ramsay",Belgium,"25000 - 49999",0,1,0,2017-08-24
"Jan Guetter",Germany,"25000 - 49999",0,1,0,2019-09-12
"Jan Nemec",Belgium,"25000 - 49999",1,1,0,2018-02-05
"Lykke Advice",Belgium,"25000 - 49999",0,1,0,2016-09-15
"M. Raymond BARBIER",Portugal,"25000 - 49999",0,0.5,0,2015-10-28
"MH consulting","United Kingdom","25000 - 49999",0,1,0,2020-12-13
"Marking Public Affairs bvba",Belgium,"25000 - 49999",1,1,0,2011-12-19
"Mathieu Fonteneau",Belgium,"25000 - 49999",1,0.75,2,2015-03-24
"OceanWise Limited","United Kingdom","25000 - 49999",0,0.25,0,2017-07-21
"Pablo Llopis Benito",Spain,"25000 - 49999",0,1,0,2019-02-22
Phronesis,Belgium,"25000 - 49999",0,1,0,2016-09-30
"Pilarp Juridik",Sweden,"25000 - 49999",0,0.5,0,2016-08-25
"Pollet Environmental Consulting",Belgium,"25000 - 49999",0,1,0,2009-02-20
"Prof. Dr. Raphael von Heereman",Germany,"25000 - 49999",1,1,0,2017-04-26
"ROSS GORDON CONSULTANTS SPRL",Belgium,"25000 - 49999",0,1,0,2015-05-11
SERRPA,Belgium,"25000 - 49999",0,1,0,2017-11-22
"SFE Consulting Ltd","United Kingdom","25000 - 49999",0,1,0,2019-11-08
"Support Base",Belgium,"25000 - 49999",1,1,0,2017-11-28
"Ussal Consultancy",Turkey,"25000 - 49999",0,2,0,2020-03-01
"Van Dijk EU Consultancy",Netherlands,"25000 - 49999",0,0.5,0,2015-05-06
"Vlassembrouck Consult",Belgium,"25000 - 49999",0,1,0,2012-01-10
"Ing. Miroslav Haltuf","Czech Republic",37000,1,1,0,2019-04-26
"Fabrizio Protti",Romania,30000,0,1,0,2018-02-03
"Vandoren Consulting",Belgium,30000,0,0.5,3,2015-05-13
