"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"European Telecommunications Standards Institute",France,"1000000 - 1249999",0,4.25,6,2015-03-09
Euroseeds,Belgium,"1000000 - 1249999",1,10.75,6,2012-04-16
"Fédération Internationale de l'Automobile",France,"1000000 - 1249999",2,2.75,32,2011-02-22
"Shungham Information (FiscalNote Europe)","United States","1000000 - 1249999",15,15.5,0,2011-11-19
"Federazione italiana per l'uso razionale dell'energia",Italy,"900000 - 999999",0,3.75,0,2017-01-23
QED,Belgium,"800000 - 899999",0,2.25,0,2018-03-26
"Forum Europe","United Kingdom","700000 - 799999",0,16.25,11,2015-01-07
"International Marine Certification Institute",Belgium,"600000 - 699999",0,1.75,0,2015-03-15
"Nederlands Olympisch Comité * Nederlandse Sport Federatie",Netherlands,"600000 - 699999",0,0.75,0,2016-12-15
"Organisation de Producteurs Cooperative Maritime Etaploise Manche Mer du Nord",France,"600000 - 699999",0,9,0,2016-09-20
"The Open Group Limited","United Kingdom","600000 - 699999",0,7,0,2017-08-18
"Koninklijke Nederlandse Motorrijders Vereniging",Netherlands,"500000 - 599999",0,1.5,1,2018-10-15
"Krajowa Rada Izb Rolniczych",Poland,"500000 - 599999",0,5,0,2018-01-31
"Pensioenfederatie (Federation of the Dutch Pension Funds)",Netherlands,501208,0,2,14,2010-01-11
"Deutscher Juristentag e.V.",Germany,"400000 - 499999",0,2,1,2018-08-21
"FEICA - Association of the European Adhesive & Sealant Industry",Belgium,"400000 - 499999",0,2.75,0,2010-02-22
"6THC OU",Estonia,"300000 - 399999",0,12.5,0,2018-06-19
"Aldersgate Group","United Kingdom","300000 - 399999",0,6,15,2015-05-20
"European Association of Co-operative Banks",Belgium,"300000 - 399999",2,12.5,10,2009-01-12
"European Federation for Company Sport",France,"300000 - 399999",0,0.75,0,2016-12-12
"Fundación Corporación Tecnológica de Andalucía",Spain,"300000 - 399999",0,0.5,0,2016-06-21
"Industrielinqs Pers en Platform",Netherlands,"300000 - 399999",0,8.75,0,2020-12-22
"International Centre for Migration Policy Development",Austria,"300000 - 399999",0,6.25,20,2016-03-02
"Irish Farmers' Association",Ireland,"300000 - 399999",0,2,38,2014-05-16
"Lloyd's of London","United Kingdom","300000 - 399999",0,0.5,5,2010-03-09
"HL7 International Foundation",Belgium,366015,0,1.25,0,2015-12-01
"European Energy Forum",France,365972,3,4.25,0,2011-09-08
BrandFirst,Germany,"200000 - 299999",0,2,1,2016-11-05
"CONSEJO GENERAL DE AGENTES COMISIONISTAS DE ADUANA DE ESPAÑA",Spain,"200000 - 299999",0,0.75,0,2018-09-21
"Climate-KIC Holding BV",Netherlands,"200000 - 299999",2,2.25,9,2016-12-20
"EUROTARGET, s.r.o.",Slovakia,"200000 - 299999",0,0.5,0,2016-10-20
"European Confederation of Directors' Associations",Belgium,"200000 - 299999",0,2,0,2011-12-13
"European Platform for Sport Innovation",Belgium,"200000 - 299999",0,0.5,1,2019-04-29
"Fundacio Eurecat",Spain,"200000 - 299999",0,3,0,2017-09-18
"Fórum Oceano - Associação da Economia do Mar",Portugal,"200000 - 299999",0,1.25,0,2016-05-17
"International Association of Ropeway Manufacturers",Italy,"200000 - 299999",0,5,0,2020-01-13
Knowledge4innovation.eu,Belgium,"200000 - 299999",0,1.5,1,2020-05-18
"Magyarországi Gyógyszergyártók Országos Szövetsége",Hungary,"200000 - 299999",0,0.25,0,2018-01-02
Mov'eo,France,"200000 - 299999",0,2.75,0,2019-03-26
"Renewables Grid Initiative e.V.",Germany,"200000 - 299999",0,1.5,9,2014-06-26
"Assemblée permanente des Chambres d'Agriculture",France,220000,0,1.5,2,2012-03-29
"Suomen sähkönkäyttäjät ry (Association of Energy Users in Finland)",Finland,208000,0,1,0,2017-05-04
"Asociación para la investigación y mejora del cultivo de la remolacha azucarera",Spain,"100000 - 199999",0,1.5,0,2018-01-24
"Association of Chartered Certified Accountants","United Kingdom","100000 - 199999",0,2.5,5,2008-07-02
"Bundeskammer der ZiviltechnikerInnen",Austria,"100000 - 199999",0,2,0,2020-06-17
Bundesnotarkammer,Germany,"100000 - 199999",2,4.75,2,2009-07-06
"CFA Society Poland",Poland,"100000 - 199999",0,2.5,0,2019-11-13
"Chamber of Commerce and Industry of Serbia",Serbia,"100000 - 199999",1,6,0,2009-05-24
"Comité Régional des pêches maritimes et des élevages marins de Bretagne",France,"100000 - 199999",0,4.75,0,2019-11-19
"DIN Deutsches Institut für Normung e. V.",Germany,"100000 - 199999",1,1.5,8,2016-11-02
"Donors and Foundations Networks in Europe",Belgium,"100000 - 199999",0,1.25,0,2020-12-08
"ECOEMBALAJES ESPAÑA, S.A.",Spain,"100000 - 199999",0,1.25,6,2015-03-06
"European Association of Environmental and Resource Economists",Italy,"100000 - 199999",0,1.5,0,2011-07-29
"European Committee for Electrotechnical Standardization",Belgium,"100000 - 199999",1,1.75,5,2009-10-18
"European Committee for Standardization",Belgium,"100000 - 199999",0,1.75,4,2011-03-18
"European Council of the Paint, Printing Ink and Artists' Colours Industry",Belgium,"100000 - 199999",0,1,1,2010-12-01
"European Federation of Building Societies",Belgium,"100000 - 199999",2,3,4,2010-07-28
"European Hospital and Healthcare Employers' Association",Belgium,"100000 - 199999",0,2,5,2015-05-08
"Fédération Française d'Equitation",France,"100000 - 199999",0,1.25,4,2011-05-31
"Gesellschaft für musikalische Aufführungs- und mechanische Vervielfältigungsrechte",Germany,"100000 - 199999",1,1.25,8,2011-07-25
"International Society for Pharmaceutical Engineering","United States","100000 - 199999",0,5.5,0,2017-08-02
"International cosmetic and device association eV",Germany,"100000 - 199999",0,3.75,0,2012-02-28
"Organización de Consumidores y Usuarios",Spain,"100000 - 199999",0,3,0,2016-08-22
"Parenteral Drug Association","United States","100000 - 199999",0,2,0,2016-04-26
"Pensioenfonds Zorg en Welzijn",Netherlands,"100000 - 199999",0,1,0,2020-12-06
ProRail,Netherlands,"100000 - 199999",0,2.75,1,2016-09-05
"Stichting Volkswagen Car Claim",Netherlands,"100000 - 199999",0,0.25,1,2016-11-21
"TATE International, s.r.o.","Czech Republic","100000 - 199999",0,3.5,0,2017-03-27
