"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Secretariat of COMECE (Commission of the Episcopates of the European Union)",Belgium,"1250000 - 1499999",0,8.25,10,2011-10-07
"EKD-Büro Brüssel / EKD-Office Brussels",Belgium,"500000 - 599999",1,2.75,14,2011-10-12
"Europe Israel Public Affairs",Belgium,"300000 - 399999",1,3,1,2016-02-22
"Jesuit European Social Centre",Belgium,"300000 - 399999",0,6.75,2,2011-07-26
"Quaker Council for European Affairs",Belgium,304607,0,4.5,1,2020-02-12
"European Jewish Association",Belgium,"200000 - 299999",0,2,5,2014-02-06
"European Jewish Congress",Belgium,"200000 - 299999",3,4.25,4,2011-08-18
"The Church of Jesus Christ of Latter-day Saints - European Union and International Affairs Office",Belgium,"200000 - 299999",2,1,6,2013-09-18
"Africa Europe Faith and Justice Network",Belgium,"100000 - 199999",0,2.5,0,2009-06-11
"Church of Cyprus to the E.U. in Brussels",Belgium,"100000 - 199999",3,3,0,2010-07-13
"Conference of European Churches",Belgium,"100000 - 199999",5,1.5,2,2012-06-08
"Unie Vrijzinnige Verenigingen",Belgium,"100000 - 199999",1,2.5,0,2016-10-24
"Evangelical Lutheran Church of Finland, Church Council",Finland,130380,0,1,1,2018-06-13
"Bahá'í International Community",Belgium,104228,1,4,1,2010-07-19
"B'nai B'rith International","United States","50000 - 99999",0,1.5,8,2015-10-20
"Dreikönigsaktion - Hilfswerk der Katholischen Jungschar",Austria,"50000 - 99999",0,2.5,2,2013-10-30
"EUROPEAN ALEVI UNION","United Kingdom","50000 - 99999",0,16,0,2019-10-27
"European Evangelical Alliance",Switzerland,"50000 - 99999",1,2.5,0,2015-09-02
"Evangelische Kirche Berlin-Brandenburg-schlesische Oberlausitz - Dienststelle des Länderbeauftragten",Germany,"50000 - 99999",0,1,0,2015-12-21
"Aid to the Church in Need",Germany,"25000 - 49999",0,1.25,2,2014-04-23
"Asociación Enraizados",Spain,"25000 - 49999",0,1.5,0,2017-01-07
"Büro Brüssel des Generalsekretariats der Österreichischen Bischofskonferenz",Belgium,"25000 - 49999",0,0.5,0,2012-01-09
"Churches' Commission for Migrants in Europe",Belgium,"25000 - 49999",0,1,2,2011-01-14
"Comunità religiosa islamica italiana",Italy,"25000 - 49999",0,9.25,0,2020-06-24
"European Office of the Church of Scientology for Public Affairs & Human Rights",Spain,"25000 - 49999",0,1.25,0,2017-07-18
"European Pakistani Christian Organization",Norway,"25000 - 49999",0,1.75,0,2019-03-31
"European Union for Progressive Judaism","United Kingdom","25000 - 49999",0,1,0,2017-06-08
"Fondazione Migrantes",Italy,"25000 - 49999",0,1.75,0,2016-03-08
"Hospitality Europe",Belgium,"25000 - 49999",1,1,0,2015-04-16
"Representative Office of the Islamic Community in Bosnia and Herzegovina",Bosnia-Herzegovina,"25000 - 49999",0,1.25,0,2016-03-23
"Welthaus Diözese Graz-Seckau",Austria,"25000 - 49999",0,1,0,2013-12-19
"Union des Conférences Européennes des Supérieurs/es Majeurs/es",Belgium,30000,0,1,0,2019-01-31
"Chapel for Europe (Chapelle pour l'Europe)",Belgium,"10000 - 24999",2,0.5,0,2013-02-15
"Committee of the Representatives of the Orthodox Churches in European Union",Belgium,"10000 - 24999",1,0.5,1,2017-01-27
"Coordination Office of the Austrian Bishop’s Conference",Austria,"10000 - 24999",0,0.25,0,2013-12-04
"Office of the Anglican Bishop in Europe",Belgium,"10000 - 24999",0,0.75,0,2016-01-14
"Représentation de l'Eglise Orthodoxe Roumaine auprès des Institutions européennes",Belgium,"10000 - 24999",1,1,0,2011-10-06
"The European Synagogue",Belgium,"10000 - 24999",0,1,0,2018-02-19
"UNIONE FRATI MINORI D'EUROPA ASBL",Belgium,"10000 - 24999",0,3.25,0,2016-07-08
"HINDU FORUM EUROPE",Belgium,16200,0,1.25,0,2018-06-05
"Arbeitskreis Kirchliche Investoren",Germany,"< 9,999",0,0.25,0,2020-09-29
"Bektashi World Headquarters",Albania,"< 9,999",0,1,0,2018-09-04
"Christian ecumenical church International n.e.V.",Germany,"< 9,999",0,0.5,0,2019-02-01
"Churches' Legislation Advisory Service","United Kingdom","< 9,999",0,0.25,0,2011-11-23
"European Buddhist Union",France,"< 9,999",0,3,0,2018-02-03
"Israelitische Kultusgemeinde Wien",Austria,"< 9,999",0,0.5,1,2014-12-02
"Karmapa Foundation Europe",Belgium,"< 9,999",0,0.25,0,2016-02-01
"Kommissariat der deutschen Bischöfe - Katholisches Büro in Berlin -",Germany,"< 9,999",0,0.75,1,2013-03-05
"Pagan Federation International Deutschland e.V.",Germany,"< 9,999",0,1,0,2019-08-28
"Provincia de España de la Congregación Hermanas Hospitalarias del Sagrado Corazón de Jesús",Spain,"< 9,999",0,0.25,0,2019-09-26
"SGI Europe Buddhist Association",Germany,"< 9,999",0,0.5,0,2014-06-18
"Sisters of Our Lady of Apostles (Irish Province)",Ireland,"< 9,999",0,0.25,0,2020-10-21
"Stichting Pagan Federation International",Netherlands,"< 9,999",0,1,0,2019-12-17
"Svenska kyrkan",Sweden,"< 9,999",0,0.75,2,2016-12-07
"The Conference of European Justice & Peace Commissions",Belgium,"< 9,999",0,0.25,2,2020-09-03
"Zentralkomitee der deutschen Katholiken",Germany,"< 9,999",0,0.25,0,2016-09-05
"ISKCON Communications Europe",Belgium,9500,0,1,0,2018-06-29
"European Union for Progressive Judaism Rabbinic Assembly",Belgium,2400,0,0.25,0,2017-04-03
"Förderverein Freunde der Mennonitenkirche Leer e.V.",Germany,"no figure available",0,0.5,0,2020-05-30
