"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Implement a European-wide coordination of research and innovation programs on raw materials to strengthen the industry competitiveness and the shift to a circular economy",Portugal,"2500000 - 2749999",0,2,0,2016-10-18
"Assembly of European Regions",France,"1000000 - 1249999",3,8.5,21,2014-02-26
"Association of European Border Regions",Germany,"1000000 - 1249999",0,10.75,2,2015-10-22
"ICLEI - Local Governments for Sustainability European Secretariat",Germany,"900000 - 999999",0,2,9,2018-10-30
"Mission Opérationnelle Transfrontalière",France,"900000 - 999999",0,6.75,0,2015-09-14
"European co-operation for Accreditation",France,"700000 - 799999",0,1.75,0,2015-09-11
EUREGIO,Germany,"600000 - 699999",0,38,0,2019-07-17
"Eixo Atlantico do Noroeste Peninsular",Spain,"600000 - 699999",0,3.75,0,2015-10-08
PLATFORMA,Belgium,"600000 - 699999",2,9,8,2017-02-02
"Joint Programming Initiative on Agriculture, Food Security and Climate Change",France,"500000 - 599999",0,8.75,2,2011-11-28
"COMMONWEALTH LOCAL GOVERNMENT FORUM","United Kingdom","400000 - 499999",0,6.25,0,2016-12-02
RAILPOL,Netherlands,"400000 - 499999",0,3.25,0,2016-08-01
"United Cities and Local Governments Middle East and West Asia Section",Turkey,"400000 - 499999",0,6,0,2018-02-01
AQUAPOL,France,"300000 - 399999",0,4,0,2017-04-25
"North Calotte Council",Finland,"300000 - 399999",0,4.5,0,2015-12-03
"UGANDA LOCAL GOVERNMENTS ASSOCIATION",Uganda,"300000 - 399999",0,1.5,0,2016-11-28
"ASOCIACION MEDCITIES Y/O MEDCITÉS",Spain,"200000 - 299999",0,5.75,0,2018-11-19
"Euregio Scheldemond",Belgium,"200000 - 299999",0,2,0,2018-03-09
"European Metropolitan Transport Authorities",France,"200000 - 299999",0,2,1,2015-05-31
"Internationale Bodenseekonferenz",Germany,"200000 - 299999",0,3.5,0,2015-12-17
"Istituto centrale per il Catalogo Unico delle biblioteche italiane",Italy,"200000 - 299999",0,6.75,0,2018-01-08
"Municipality of Vila Nova de Poiares",Portugal,"200000 - 299999",0,2.5,0,2020-05-24
"Université de la Grande Région",Luxembourg,"200000 - 299999",0,4,1,2018-03-14
"Biedrības ""Latvijas Lielo pilsētu asociācija""",Latvia,"100000 - 199999",0,2,1,2018-01-08
"Comunidad de Trabajo de los Pirineos",Spain,"100000 - 199999",0,0.75,0,2019-08-13
"Euro Contrôle Route",Belgium,"100000 - 199999",0,1,0,2016-07-07
"Municipal Waste Europe",Belgium,"100000 - 199999",2,2.75,8,2009-04-21
"Open Traffic Systems City Association e.V.",Germany,"100000 - 199999",0,0.5,0,2016-10-17
"Regions4 Sustainable Development",Belgium,"100000 - 199999",0,3.25,0,2020-08-17
"UGANDA LOCAL GOVERNMENTS ASSOCIATION",Uganda,"100000 - 199999",0,11.25,0,2018-03-07
"Association of Social Democratic Municipalities",Turkey,"50000 - 99999",0,3.75,6,2015-01-12
"Baltic Sea States Subregional Co-operation",Poland,"50000 - 99999",0,2,0,2008-12-19
"EUROPEAN CHEMICAL REGIONS NETWORK",Belgium,"50000 - 99999",1,1.75,0,2016-11-14
"European Association of Development Agencies",Belgium,"50000 - 99999",0,1,1,2016-12-20
"European Inland Fisheries and Aquaculture Advisory Commission",Italy,"50000 - 99999",0,3.75,0,2017-03-06
"European Network of Cities and Regions for the Social Economy AISBL",Belgium,"50000 - 99999",1,1.75,0,2011-04-13
"The Vanguard Initiative",Belgium,"50000 - 99999",0,1,0,2020-12-22
"Water Europe",Belgium,"50000 - 99999",3,3,15,2011-02-15
"Federación Latinoamericana de Ciudades, Municipios y Asociaciones de Gobiernos Locales",Mexico,96000,0,2.25,0,2019-01-14
"EUROPEAN GROUPING OF TERRITORIAL COOPERATION AMPHICTYONY",Greece,76235,0,0.75,0,2019-05-09
