"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"European Chemical Industry Council",Belgium,"> 10,000,000",20,42,123,2009-09-24
"Insurance Europe",Belgium,"6500000 - 6749999",21,35,51,2010-04-15
"Association for Financial Markets in Europe","United Kingdom","4500000 - 4749000",3,23,51,2010-08-04
"European Banking Federation",Belgium,"4500000 - 4749000",7,17.5,46,2008-12-19
"European Federation of Pharmaceutical Industries and Associations",Luxembourg,4651809,8,9,92,2009-03-04
"Verband der Chemischen Industrie e.V.",Germany,"4250000 - 4499999",3,25.5,9,2011-11-02
BUSINESSEUROPE,Belgium,"4000000 - 4249999",17,30,292,2009-01-13
"Verband Deutscher Maschinen- und Anlagenbau e.V.",Germany,"3750000 - 3999999",1,23.25,21,2008-11-28
"European Fund and Asset Management Association",Belgium,"3500000 - 3749000",2,11,6,2008-11-28
"Association des Constructeurs Européens d'Automobiles",Belgium,"2750000 - 2999999",13,13,142,2008-12-18
"BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.",Germany,"2750000 - 2999999",8,13.75,27,2009-03-16
"Bundesverband der Deutschen Industrie e.V.",Germany,"2750000 - 2999999",8,20.75,112,2008-12-10
"Bundesverband Öffentlicher Banken Deutschlands",Germany,"2750000 - 2999999",1,19,21,2009-01-07
"Deutscher Industrie- und Handelskammertag e.V.",Germany,"2500000 - 2749999",14,15.25,56,2009-02-20
"BVI Bundesverband Investment und Asset Management e.V.",Germany,"2500000 - 2749000",5,10,18,2010-09-14
"Gesamtverband der Deutschen Versicherungswirtschaft e.V.",Germany,"2500000 - 2749000",0,11,30,2008-08-01
FuelsEurope,Belgium,"2250000 - 2499999",10,8.25,35,2010-12-08
"Malaysian Employers Federation",Malaysia,2285220,0,0.75,0,2016-11-25
"Bundesverband deutscher Banken e.V.",Germany,"2000000 - 2249999",3,13.75,51,2008-09-05
"International Swaps and Derivatives Association","United States","2000000 - 2249999",3,6,10,2009-02-08
"Associazione Bancaria Italiana",Italy,"1750000 - 1999999",5,7.25,21,2013-07-12
"Finance Denmark",Denmark,"1750000 - 1999999",0,10,13,2012-02-29
PlasticsEurope,Belgium,"1750000 - 1999999",5,8.75,19,2013-09-24
"Deutscher Sparkassen-und Giroverband",Germany,1800000,1,9,39,2011-01-06
"Zentralverband des Deutschen Handwerks e.V.",Germany,"1500000 - 1749999",3,14,57,2008-12-15
"Bundesverband der Deutschen Volksbanken und Raiffeisenbanken",Germany,"1500000 - 1749000",0,13,16,2011-09-05
"SMEunited aisbl",Belgium,1591582,2,15,114,2009-02-20
"Verband der Automobilindustrie",Germany,1500000,1,14,50,2010-12-14
"Airlines for Europe",Belgium,"1250000 - 1499999",1,8,41,2016-03-14
"Association of British Insurers","United Kingdom","1250000 - 1499999",0,1.25,4,2008-06-26
DIGITALEUROPE,Belgium,"1250000 - 1499999",4,12.25,154,2011-10-26
EuroCommerce,Belgium,"1250000 - 1499999",13,9,137,2009-02-19
"European Mortgage Federation - European Covered Bond Council",Belgium,"1250000 - 1499999",1,8,7,2011-10-19
Ibec,Ireland,"1250000 - 1499999",0,10.25,33,2014-06-03
"Managed Funds Association","United States","1250000 - 1499999",0,3.5,23,2014-12-05
"The Investment Association","United Kingdom","1250000 - 1499999",0,10.5,17,2008-06-30
