"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Vereniging FME-CWM",Netherlands,"2500000 - 2749000",0,12.5,0,2017-06-01
"Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.",Germany,"1750000 - 1999999",3,14,47,2008-12-01
"Kon. BLN-Schuttevaer",Netherlands,1750000,0,13.5,0,2019-03-10
"Accountancy Europe",Belgium,"1250000 - 1499999",6,7,5,2008-09-16
"EBU-UER (European Broadcasting Union)",Belgium,"1250000 - 1499999",2,8.75,41,2009-04-30
"Association Française de la Gestion financière",France,"1000000 - 1249999",3,6.5,13,2008-07-10
"Buurtsuper.be, de UNIZO organisatie van zelfstandige supermarkten",Belgium,"1000000 - 1249999",0,1.25,0,2019-05-20
"Conseil des Notariats de l'Union Européenne",Belgium,"1000000 - 1249999",5,7.5,4,2011-08-26
"EUROPEAN TRADE UNION CONFEDERATION",Belgium,"1000000 - 1249999",3,22.25,196,2009-02-02
"GSMA Europe","United Kingdom","1000000 - 1249999",0,6.75,56,2011-12-22
PROVACUNO,Spain,"1000000 - 1249999",0,3.5,0,2020-09-09
"STTK ry",Finland,"1000000 - 1249999",0,14,5,2016-12-20
"European Working Community for Food Inspection and Consumer Protection",France,"900000 - 999999",0,1.5,0,2010-09-20
"Standing Committee of European Doctors",Belgium,"900000 - 999999",5,7.75,19,2008-09-18
"Asociación Española de Abastecimientos de Agua y Saneamiento",Spain,960000,0,1,0,2017-01-23
"Chambre des Métiers du Grand-Duché du Luxembourg",Luxembourg,"800000 - 899999",0,3.75,3,2014-10-22
"European Transport Workers' Federation",Belgium,"800000 - 899999",12,17.75,50,2009-02-12
"Független Szakszervezetek Demokratikus Ligája",Hungary,"800000 - 899999",0,1,2,2016-11-30
"Institute of Chartered Accountants in England and Wales","United Kingdom","800000 - 899999",0,2.5,7,2008-12-04
"European Trade Union Committee for Education",Belgium,"700000 - 799999",3,9,13,2010-01-14
"Industrianställda i Norden",Sweden,"700000 - 799999",0,3.75,1,2018-09-12
"Fédération Nationale des Producteurs de Chanvre",France,750000,0,4,0,2019-04-11
"Belgische federatie van de industrie van de medische technologieën",Belgium,700000,0,3.5,0,2019-05-22
"Association pour un Hébergement et un TOurisme Professionnels",France,"600000 - 699999",0,1,0,2015-12-24
"European Aluminium AISBL",Belgium,"600000 - 699999",12,4.75,33,2008-08-01
"European Federation of Public Service Unions",Belgium,"600000 - 699999",9,4.5,43,2009-04-16
"Federation of Veterinarians of Europe",Belgium,"600000 - 699999",1,6,6,2008-12-05
"Fundación Centro Tecnológico Soermar",Spain,"600000 - 699999",0,7,0,2012-02-21
"National Farmers' Union","United Kingdom","600000 - 699999",0,4,9,2016-03-07
"ASSOCIATION DE LA TRANSFORMATION LATIERE",France,"500000 - 599999",0,2.5,0,2018-01-30
"American Health Information Management Association","United States","500000 - 599999",0,4,0,2019-09-25
"Associazione degli Enti Previdenziali Privati",Italy,"500000 - 599999",0,11,2,2015-09-30
"Associação Portuguesa da Indústria Farmacêutica",Portugal,"500000 - 599999",0,3.25,0,2015-09-15
"Bioenergy Europe",Belgium,"500000 - 599999",6,6,11,2010-10-28
"Council of European Dentists",Belgium,"500000 - 599999",4,2.5,2,2009-01-15
"Irish Congress Trade Unions",Ireland,"500000 - 599999",0,15.5,2,2014-07-02
"Naczelna Izba Aptekarska",Poland,"500000 - 599999",0,0.25,0,2018-08-02
"Nordic Financial Unions",Sweden,"500000 - 599999",0,3,2,2008-09-04
"Ogólnopolskie Porozumienie Związków Zawodowych",Poland,"500000 - 599999",0,2.5,2,2017-05-30
"Rederscentrale CVBA",Belgium,"500000 - 599999",0,5,0,2009-12-21
"SGF International e.V.",Germany,"500000 - 599999",0,0.75,0,2015-11-24
"The Swedish Trade Union Confederation",Sweden,"500000 - 599999",0,5.5,6,2015-06-26
"Tjänstemännens centralorganisation",Sweden,"500000 - 599999",1,5,5,2012-09-19
