"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Centro Tecnológico del Mar - Fundación CETMAR",Spain,"2250000 - 2499999",0,39,0,2016-05-31
"Wirtschaftskammer Österreich",Austria,"1750000 - 1999999",0,15,36,2010-01-07
"Autorità di Sistema portuale del Mar Tirreno Settentrionale",Italy,"1000000 - 1249999",0,3,0,2019-01-30
"DIRECCIÓN DE ENERGÍA (COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA)",Spain,"1000000 - 1249999",0,10,0,2017-07-06
"KfW Bankengruppe",Germany,"1000000 - 1249999",3,5.5,60,2012-09-25
"Suomen itsenäisyyden juhlarahasto",Finland,"1000000 - 1249999",0,5,10,2017-05-24
"HELLENIC FINANCIAL STABILITY FUND",Greece,1000000,0,3.25,0,2019-04-01
"Malta Communications Authority",Malta,1000000,0,21.5,0,2019-05-10
"Egmont Institute",Belgium,"900000 - 999999",0,18.25,9,2016-09-28
"Organismo Publico Puertos del Estado",Spain,"700000 - 799999",0,2.5,0,2016-11-02
"Service de lutte contre la pauvreté, la précarité et l'exclusion sociale",Belgium,"700000 - 799999",0,7,0,2015-06-03
"Unione Italiana delle Camere di Commercio, Industria, Artigianato e Agricoltura",Italy,"600000 - 699999",0,3,1,2010-04-15
Viapass,Belgium,650000,0,12.25,1,2018-04-26
"Centre National d'Etudes Spatiales",France,"500000 - 599999",0,3,1,2016-12-06
"FUNDACIÓN FUNDECYT PARQUE CIENTIFICO Y TECNOLOGICO DE EXTREMADURA",Spain,"500000 - 599999",0,17,0,2014-08-04
"Határon Átnyúló Kezdeményezések Közép-európai Segítő Szolgálata",Hungary,"500000 - 599999",0,2.75,0,2015-12-29
"Maritime Technology Cluster FVG",Italy,"500000 - 599999",0,3.25,0,2014-01-17
"AGENZIA NAZIONALE PER I SERVIZI SANITARI REGIONALI",Italy,590079,0,14,0,2018-05-31
"Colegio de registradores de la propiedad y mercantiles de España",Spain,500000,0,4.5,0,2017-03-24
"Charleroi Entreprendre",Belgium,"400000 - 499999",0,5,0,2016-11-24
"European Agency for Special Needs and Inclusive Education",Denmark,"400000 - 499999",3,4,5,2015-02-09
"Independent Regulators Group",Belgium,"400000 - 499999",0,1.5,0,2013-07-08
"Long Distance Advisory Council / Consejo Consultivo de Flota de Larga Distancia / Conseil Consultatif de Pêche Lointaine",Spain,"400000 - 499999",0,3,4,2015-10-15
"Luxembourg Finance Labelling Agency",Luxembourg,"400000 - 499999",0,3,0,2018-03-16
NRW.BANK,Germany,"400000 - 499999",2,2,9,2009-01-06
"Société Régionale d'Investissement de Wallonie",Belgium,"400000 - 499999",0,0.25,1,2017-05-05
"Agence Française de Développement",France,"300000 - 399999",0,4,4,2013-07-15
"Agriculture and Horticulture Development Board","United Kingdom","300000 - 399999",0,4,1,2015-01-13
"Corporación Andina de Fomento",Venezuela,"300000 - 399999",0,5,2,2016-02-16
"European Quality Assurance Register for Higher Education",Belgium,"300000 - 399999",0,2.75,0,2013-08-12
"Market Advisory Council / Conseil Consultatif pour les Marchés",Belgium,"300000 - 399999",0,1.75,1,2016-11-28
"Oficina Española de Ciencia y Tecnología E.P.E. (CDTI)",Belgium,"300000 - 399999",0,4,0,2016-03-04
"Ombudsperson for Gender Equality of the Republic of Croatia",Croatia,"300000 - 399999",0,4,0,2019-03-20
"Pohjois-Savon liitto",Finland,"300000 - 399999",0,4,0,2019-06-27
"Zweites Deutsches Fernsehen",Germany,"300000 - 399999",3,3,28,2009-01-15
Vinnova,Sweden,312000,0,2,3,2018-07-20
Bpifrance,France,"200000 - 299999",1,2.5,14,2013-10-23
"CSC – IT CENTER FOR SCIENCE LTD.",Finland,"200000 - 299999",0,5,2,2019-08-20
"Caisse Nationale des Allocations Familiales",France,"200000 - 299999",0,4,0,2016-01-22
"Centre national de prévention et de traitement des intoxications, dit Centre Antipoisons",Belgium,"200000 - 299999",0,1,0,2016-08-22
"Chambre de commerce et d'industrie de région Paris Ile-de-France",France,"200000 - 299999",0,3.5,1,2010-12-09
"Dachverband der österreichischen Sozialversicherung",Austria,"200000 - 299999",1,4,2,2015-09-22
"Deutsche Gesetzliche Unfallversicherung e.V.",Germany,"200000 - 299999",0,2,2,2015-05-20
"European Forum of Deposit Insurers",Hungary,"200000 - 299999",0,2.25,0,2016-01-06
"Hague Conference on Private International Law",Netherlands,"200000 - 299999",0,1,1,2018-02-27
"Hrvatski audiovizualni centar - Croatian Audiovisual Centre",Croatia,"200000 - 299999",0,0.5,0,2015-09-30
"Luchtverkeersleiding Nederland",Netherlands,"200000 - 299999",0,2,0,2014-02-14
"Norddeutsche Landesbank Girozentrale",Germany,"200000 - 299999",0,2.5,1,2019-04-16
"RAM Logistica Infrastrutture e Trasporti Spa",Italy,"200000 - 299999",0,4,0,2016-11-10
"Romanian Maritime Training Center",Romania,"200000 - 299999",0,5,0,2017-05-04
"Trikala Development Agency",Greece,"200000 - 299999",0,7.5,0,2018-01-04
"Magyar Rektori Konferencia",Hungary,293267,0,1.25,0,2017-05-11
"ORGANIZACIÓN LATINOAMERICANA DE ALCALDES",Spain,255000,0,3.75,0,2019-04-23
"GIP OI du Hainaut",France,201766,0,4,0,2017-03-29
"Chambre de Métiers et de l'Artisanat Interdépartementale Calvados Orne",France,200000,0,3.25,0,2018-03-08
"Administrador de Infraestructuras Ferroviarias",Spain,"100000 - 199999",0,1.75,0,2016-09-27
"Aix-Marseille Université",France,"100000 - 199999",0,2,2,2016-02-02
"Allgemeine Ortskrankenkasse-Bundesverband",Germany,"100000 - 199999",1,1,0,2014-01-06
"Associació pel Desenvolupament Rural de la Catalunya Central",Spain,"100000 - 199999",0,4,0,2017-08-29
"Autorità di Sistema Portuale del Mar Adriatico Settentrionale",Italy,"100000 - 199999",0,6.5,1,2015-01-16
"Bank Gospodarstwa Krajowego",Poland,"100000 - 199999",0,5.25,4,2017-06-09
"Belgian Institute for Postal services and Telecommunications",Belgium,"100000 - 199999",3,1,0,2020-01-24
"Bundesverband Öffentliche Dienstleistungen e.V.",Germany,"100000 - 199999",1,1.25,0,2018-01-16
"Caisse centrale de la Mutualité Sociale Agricole",France,"100000 - 199999",0,1.75,0,2020-11-24
"City of Dublin Energy Management Agency Ltd",Ireland,"100000 - 199999",0,1,0,2016-11-07
"Consejo General de Colegios Oficiales de Médicos",Spain,"100000 - 199999",0,2,2,2015-03-18
"Consiglio Nazionale dei Giovani",Italy,"100000 - 199999",3,2.25,0,2020-07-22
"DFS Deutsche Flugsicherung GmbH",Germany,"100000 - 199999",1,1,10,2009-05-18
"Danish Committee for Health Education",Denmark,"100000 - 199999",0,1.75,0,2018-07-16
"De Vlaamse Waterweg nv",Belgium,"100000 - 199999",0,4,0,2015-04-03
"Deutsche Forschungsgemeinschaft",Germany,"100000 - 199999",0,1.5,1,2014-07-07
"Deutscher Verein für öffentliche und private Fürsorge e. V./German Association for Public and Private Welfare",Germany,"100000 - 199999",0,1.5,1,2009-09-09
"Distretto Ligure delle Tecnologie Marine",Italy,"100000 - 199999",0,1.5,0,2016-06-08
"Etablissement Autonome de Contrôle et de Coordination des Exportations",Morocco,"100000 - 199999",2,0.75,0,2019-05-06
"Etelä-Savon maakuntaliitto",Finland,"100000 - 199999",0,1.25,0,2019-06-25
EuroGeographics,Belgium,"100000 - 199999",0,1.5,0,2012-01-19
"FUNDACION CLUSTER AUTOMOCIÓN DE GALICIA CEAGA",Spain,"100000 - 199999",0,1.5,1,2020-04-15
"Found.ation Maker's Place P.C.",Greece,"100000 - 199999",0,5,1,2017-04-28
"Gemeinsamer Bundesausschuss",Germany,"100000 - 199999",0,1.5,0,2018-11-13
"General Medical Council","United Kingdom","100000 - 199999",0,1.5,0,2012-07-23
"Gestore dei Mercati Energetici S.p.A.",Italy,"100000 - 199999",0,0.75,0,2017-07-24
"Goethe-Institut e.V.",Germany,"100000 - 199999",0,2.5,8,2012-02-15
"Gruppo di Azione Locale Terre di Aci scarl",Italy,"100000 - 199999",0,0.25,0,2020-09-09
"Havenbedrijf Antwerpen NV van publiek recht",Belgium,"100000 - 199999",0,1.5,4,2014-12-08
"Hellenic Association of Municipal Water and Sewerage Companies",Greece,"100000 - 199999",0,0.5,0,2018-10-17
"Investitions- und Förderbank Niedersachsen",Germany,"100000 - 199999",0,1,1,2019-03-19
"Investitionsbank Sachsen_Anhalt",Germany,"100000 - 199999",0,1.25,0,2019-08-22
"Joint Nature Conservation Committee","United Kingdom","100000 - 199999",0,0.5,2,2012-04-03
"Keski-Suomen liitto",Finland,"100000 - 199999",0,2.5,0,2020-02-05
"Kommuninvest i Sverige AB",Sweden,"100000 - 199999",0,1,2,2016-05-26
"LITGRID AB",Lithuania,"100000 - 199999",0,2.5,0,2017-12-19
