"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"City of London Corporation","United Kingdom","1750000 - 1999999",0,9.5,11,2015-09-25
"Scotland Europa",Belgium,"1500000 - 1749000",8,8,3,2011-07-11
"Airports Council International - European Region",Belgium,"1000000 - 1249999",0,12,56,2010-04-22
"Deutsche Sozialversicherung Arbeitsgemeinschaft Europa",Germany,"800000 - 899999",2,7,12,2008-06-27
"Geschäftsstelle der Flussgebietsgemeinschaft Elbe",Germany,"800000 - 899999",0,8.5,0,2012-02-02
"Oulun kaupunki/ City of Oulu",Finland,"800000 - 899999",0,8.75,0,2014-09-23
"Region Sønderjylland-Schleswig -Regionskontor & Infocenter",Denmark,734000,0,7,0,2014-05-21
"National Institute for Health and Disability Insurance",Belgium,"600000 - 699999",0,1.5,0,2011-05-24
"Joint Programming Initiative on Antimicrobial Restistance",Sweden,691000,0,5.25,0,2017-04-20
"Gothenburg European Office",Sweden,"500000 - 599999",0,3,1,2011-06-08
"Helsinki EU Office (vastuutaho Uudenmaan liitto)",Finland,"500000 - 599999",0,7,15,2013-07-25
"Urząd Miasta Gorzowa Wielkopolskiego",Poland,"500000 - 599999",0,3.5,0,2019-07-17
"Vereniging van Nederlandse Gemeenten",Netherlands,"500000 - 599999",0,5.25,3,2010-09-01
"Gemeente Den Haag",Netherlands,"400000 - 499999",0,15.5,1,2015-02-24
"Stockholms stad",Sweden,"400000 - 499999",0,5.5,0,2015-08-19
"Département du Finistère",France,"300000 - 399999",0,5,0,2017-09-18
"North Western Waters Advisory Council",Ireland,"300000 - 399999",0,3.25,3,2008-08-28
"Assemblée des Départements de France",France,"200000 - 299999",0,1.5,0,2017-09-25
"Assemblée des Régions Européennes Viticoles",France,"200000 - 299999",0,1,0,2011-07-19
"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH",Germany,"200000 - 299999",5,5,13,2011-07-14
GKV-Spitzenverband,Germany,"200000 - 299999",0,2.5,0,2014-01-16
"Municipality of Budapest - Brussels Representation",Hungary,"200000 - 299999",0,3.25,0,2018-01-18
"Local Government Denmark",Denmark,285000,0,5.25,2,2011-09-15
"Brest metropole",France,200000,0,5,0,2018-03-05
"Karlstads kommun",Sweden,200000,0,0.25,0,2020-05-15
's-Hertogenbosch,Netherlands,"100000 - 199999",1,6,0,2020-02-12
"AYUNTAMIENTO DE HUELVA - HUELVA CITY COUNCIL",Spain,"100000 - 199999",0,5,0,2018-02-19
"Comune di Milano",Italy,"100000 - 199999",0,9.5,0,2016-06-14
"Die Medienanstalten - Arbeitsgemeinschaft der Landesmedienanstalten in der Bundesrepublik Deutschland",Germany,"100000 - 199999",0,2.5,3,2011-07-13
"Diputació de Barcelona Brussels Office",Spain,"100000 - 199999",0,2.5,0,2011-09-13
"Eindhoven-Brainport EU Office",Netherlands,"100000 - 199999",0,4.5,2,2013-04-19
"Grad Karlovac",Croatia,"100000 - 199999",0,7,0,2019-03-04
"Hamburg Port Authority AöR",Germany,"100000 - 199999",0,4.25,0,2019-12-17
"Handwerkskammer für München und Oberbayern",Germany,"100000 - 199999",0,2.25,0,2016-02-17
"Institut d'encouragement de la recherche scientifique et de l'innovation de Bruxelles",Belgium,"100000 - 199999",0,3.5,0,2018-03-21
"METROPOLE EUROPEENNE DE LILLE",France,"100000 - 199999",0,4,3,2017-10-10
"Syctom Agence métropolitaine des déchets ménagers",France,"100000 - 199999",0,0.5,0,2018-01-05
"Varsinais-Suomen liitto",Finland,"100000 - 199999",0,4.5,0,2015-12-23
"Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding",Belgium,"100000 - 199999",0,3.75,0,2014-04-18
"provincie Overijssel",Netherlands,"100000 - 199999",0,1,0,2019-07-16
"City of Gothenburg (Göteborgs Stad)",Sweden,150000,0,2.5,0,2018-03-27
"Limerick City and County Council",Ireland,120000,0,4,0,2019-06-06
"Communauté d'Agglomération Pau Béarn Pyrénées",France,"50000 - 99999",0,4.75,0,2019-10-16
"Cornwall Council","United Kingdom","50000 - 99999",0,1,0,2015-06-25
ENAIRE,Spain,"50000 - 99999",0,2,2,2012-06-07
"G-4 Europa",Netherlands,"50000 - 99999",0,4,0,2017-01-06
"Handwerkskammer Region Stuttgart",Germany,"50000 - 99999",0,0.5,0,2019-03-26
"Lithuanian RDI Liaison Office LINO",Lithuania,"50000 - 99999",0,2.25,2,2018-05-04
"Association of Polish Cities",Poland,60000,0,1.25,0,2019-01-16
"Cittalia Fondazione ANCI sulle politiche sociali per l'accoglienza, l'integrazione e la cittadinanza",Italy,"25000 - 49999",0,1.5,0,2011-10-25
"Handwerkskammer Dresden",Germany,"25000 - 49999",0,0.75,3,2012-09-26
"Handwerkskammer Niederbayern-Oberpfalz",Germany,"25000 - 49999",0,0.5,1,2009-12-14
"VILLE DE POITIERS",France,"25000 - 49999",0,1,0,2020-08-18
"Vereniging van Vlaamse Steden en Gemeenten",Belgium,"25000 - 49999",0,0.5,0,2015-03-10
"Vlaamse Radio- en Televisieomroeporganisatie",Belgium,"25000 - 49999",0,1.5,2,2008-08-06
"Norwegian Agendy for International Cooperation and Quality Enhancement in Higher Education",Norway,45000,0,2,0,2016-02-26
"Ingenieurkammer Rheinland-Pfalz",Germany,30000,1,0.5,0,2020-01-07
"Administratie Vlaamse Regulator voor de Media",Belgium,"10000 - 24999",0,0.5,1,2015-09-29
"Asociación Empresarial de Marcas de Restauración",Spain,"10000 - 24999",0,0.25,0,2016-07-06
"Associazione Italiana Città della Ceramica",Italy,"10000 - 24999",0,1,0,2019-06-24
"Congress of Local Authorities from Moldova",Moldova,"10000 - 24999",0,0.75,0,2016-10-31
"Gemeente Venray",Netherlands,"10000 - 24999",0,0.25,0,2017-01-31
"HELLENIC SMALL ISLANDS NETWORK",Greece,"10000 - 24999",0,1.25,0,2018-01-28
"Het Gemeenschapsonderwijs",Belgium,"10000 - 24999",0,1.25,1,2016-08-04
"Kommission Arbeitsschutz und Normung",Germany,"10000 - 24999",0,1.5,0,2010-05-19
"Kujawsko-Pomorskie Samorządowe Stowarzyszenie ""Europa Kujaw i Pomorza""",Poland,"10000 - 24999",0,0.25,0,2016-08-16
"Organizzazione Italiana Professionisti Educazione e Sport",Italy,"10000 - 24999",0,1.5,0,2016-04-27
"Urząd Miejski w Środzie Śląskiej",Poland,"10000 - 24999",0,0.5,0,2019-07-17
"Združenje mestnih občin Slovenije",Slovenia,"10000 - 24999",0,1,1,2017-12-12
"AYUNTAMIENTO DE BELMONTE DE MIRANDA",Spain,"< 9,999",0,0.25,0,2020-09-16
"Association of Cities in the Republic of Croatia",Croatia,"< 9,999",0,0.25,0,2014-07-28
"Austro Control Österreichische Gesellschaft für Zivilluftfahrt mit beschränkter Haftung",Austria,"< 9,999",0,0.5,0,2014-02-13
"CONSIGLIO NAZIONALE GEOMETRI E GEOMETRI LAUREATI",Italy,"< 9,999",0,0.5,0,2014-05-30
"Canarias Submarine Link",Spain,"< 9,999",0,0.5,0,2020-09-24
"ChamberLink Ltd","United Kingdom","< 9,999",0,0.25,0,2014-01-31
"City of Stockholm, Environment and Health Committee",Sweden,"< 9,999",0,0.25,0,2011-11-23
"Communauté urbaine du Grand Reims",France,"< 9,999",0,0.25,0,2016-06-30
"Conseil départemental de la Nièvre",France,"< 9,999",0,0.25,0,2018-02-26
"European Energy Network",Netherlands,"< 9,999",0,8.5,2,2016-08-01
FEDERCASA,Italy,"< 9,999",0,0.25,1,2010-06-16
"Gmina Kisielice",Poland,"< 9,999",0,0.25,0,2019-07-17
"Gmina Miejska Zawidów",Poland,"< 9,999",0,0.5,0,2020-03-13
"Handwerkskammer Koblenz",Germany,"< 9,999",0,0.5,0,2020-12-22
"Handwerkskammer Ulm",Germany,"< 9,999",0,0.5,1,2015-04-07
"Haven van Brussel - Port de Bruxelles",Belgium,"< 9,999",0,0.25,0,2016-07-04
"Hrvatski Višedionički forum za e-Račun",Croatia,"< 9,999",0,0.5,0,2016-12-05
"Local Governments' Association of the Buda Region (Budakörnyéki Önkormányzati Társulás)",Hungary,"< 9,999",0,0.25,0,2020-12-23
"Občina Razkrižje",Slovenia,"< 9,999",0,0.5,0,2018-03-08
"Port of Gothenburg",Sweden,"< 9,999",0,0.25,0,2018-03-19
"Region Östergötland",Belgium,"< 9,999",0,3,0,2012-05-22
"Transport for London","United Kingdom","< 9,999",0,0.25,0,2012-11-20
"UK Pesticides Campaign","United Kingdom","< 9,999",0,1,1,2012-10-08
"Vereniging van Vlaamse Provincies",Belgium,"< 9,999",0,0.25,0,2014-08-01
PLERIN,France,4000,0,0.25,0,2016-04-28
"COMUNE DI CORIGLIANO-ROSSANO",Italy,"no figure available",0,3.5,0,2019-02-20
