"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"European Chemical Industry Council",Belgium,"> 10,000,000",20,42,123,2009-09-24
"I.R.I.S Solutions & Experts",Belgium,"> 10,000,000",1,5,0,2018-04-20
"Stargames Oy",Finland,"> 10,000,000",0,1,0,2018-10-14
"SINTEF AS",Norway,"8500000 - 8749000",0,7.5,1,2011-06-15
"European Centre for Development Policy Management",Netherlands,"7250000 - 7499999",0,37,4,2015-01-22
"FTI Consulting Belgium","United States","6750000 - 6999999",13,26,54,2010-04-01
Fleishman-Hillard,Belgium,"6750000 - 6999999",29,32.25,29,2009-03-17
"Insurance Europe",Belgium,"6500000 - 6749999",21,35,51,2010-04-15
"Burson Cohn & Wolfe Sprl",Belgium,"6250000 - 6499999",11,31,6,2008-10-31
EUROCITIES,Belgium,"6000000 - 6249999",6,20,51,2009-12-18
"Sieć Badawcza Łukasiewicz - Instytut Logistyki i Magazynowania",Poland,"6000000 - 6249999",0,8.5,0,2016-08-30
Google,"United States","5750000 - 5999999",2,5.5,264,2011-03-29
Altroconsumo,Italy,"5250000 - 5499999",0,1.5,2,2009-01-13
"Microsoft Corporation","United States","5250000 - 5499999",3,7.5,156,2009-01-13
"Interel European Affairs",Belgium,"5000000 - 5249999",22,25.5,11,2008-12-11
Bruegel,Belgium,5001006,0,30.5,16,2018-05-23
"Teneo Brussels","United States","4750000 - 4999999",18,30,23,2010-06-02
"Association for Financial Markets in Europe","United Kingdom","4500000 - 4749000",3,23,51,2010-08-04
"European Banking Federation",Belgium,"4500000 - 4749000",7,17.5,46,2008-12-19
"European Environmental Bureau",Belgium,"4500000 - 4749000",9,32,101,2009-03-06
"Shell Companies",Netherlands,"4500000 - 4749000",3,10.5,80,2012-04-18
"Asociación para la Defensa de la Naturaleza",Spain,4706150,0,39.75,3,2015-09-25
"European Federation of Pharmaceutical Industries and Associations",Luxembourg,4651809,8,9,91,2009-03-04
"Facebook Ireland Limited",Ireland,"4250000 - 4499999",4,13.75,164,2012-01-25
Kreab,Sweden,"4250000 - 4499999",8,30,65,2008-10-15
"Verband der Chemischen Industrie e.V.",Germany,"4250000 - 4499999",3,25.5,9,2011-11-02
"Bayer AG",Germany,4295000,7,13.25,38,2008-12-17
BUSINESSEUROPE,Belgium,"4000000 - 4249999",17,30,292,2009-01-13
"European Road Transport Telematics Implementation Coordination Organisation-Intelligent Transport Systems & Services Europe",Belgium,"3750000 - 3999999",0,33.5,4,2009-11-18
"Trinomics B.V.",Netherlands,"3750000 - 3999999",0,39,4,2017-08-24
"Verband Deutscher Maschinen- und Anlagenbau e.V.",Germany,"3750000 - 3999999",1,23.25,21,2008-11-28
"IBON International Foundation, Inc.",Philippines,"3500000 - 3749999",0,9,0,2016-12-08
"Brunswick Group LLP","United Kingdom","3500000 - 3749000",22,14.75,17,2010-11-02
"European Fund and Asset Management Association",Belgium,"3500000 - 3749000",2,11,6,2008-11-28
"ExxonMobil Petroleum & Chemical",Belgium,"3250000 - 3499999",6,5,31,2009-01-06
"Friends of Europe",Belgium,"3250000 - 3499999",0,27,44,2011-09-23
"Consorzio per il Centro Interuniversitario di Biologia Marina ed Ecologia Applicata G. Bacci",Italy,"3000000 - 3249999",0,4,0,2009-05-25
"DAB Italia s.c.p.a.",Italy,"3000000 - 3249999",0,0.25,0,2015-12-05
"Huawei Technologies",China,"3000000 - 3249999",2,19,63,2013-06-25
"SESAR Deployment Alliance",Belgium,"3000000 - 3249999",0,52,0,2017-05-22
"Siemens AG",Germany,"3000000 - 3249999",3,11.25,52,2008-12-12
"Volkswagen Aktiengesellschaft",Germany,"3000000 - 3249999",2,19.25,77,2009-01-15
"World Resources Institute","United States","3000000 - 3249999",0,1,14,2015-01-15
Concawe,Belgium,3125000,0,6,2,2011-07-26
"BASF SE",Germany,3100000,9,10.75,35,2008-12-16
"Association des Constructeurs Européens d'Automobiles",Belgium,"2750000 - 2999999",13,13,142,2008-12-18
"BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.",Germany,"2750000 - 2999999",8,13.75,27,2009-03-16
"Bundesverband der Deutschen Industrie e.V.",Germany,"2750000 - 2999999",8,20.75,112,2008-12-10
"Bundesverband Öffentlicher Banken Deutschlands",Germany,"2750000 - 2999999",1,19,21,2009-01-07
"European Youth Forum",Belgium,"2750000 - 2999999",3,27.5,36,2012-01-18
"WWF European Policy Programme",Belgium,"2750000 - 2999999",6,26.25,156,2008-09-23
"Deutscher Industrie- und Handelskammertag e.V.",Germany,"2500000 - 2749999",14,15.25,56,2009-02-20
"EUTOP Europe GmbH",Germany,"2500000 - 2749999",23,16,0,2016-12-22
"European Policy Centre",Belgium,"2500000 - 2749999",0,33.5,49,2009-01-22
"Implement a European-wide coordination of research and innovation programs on raw materials to strengthen the industry competitiveness and the shift to a circular economy",Portugal,"2500000 - 2749999",0,2,0,2016-10-18
"APCO Worldwide","United States","2500000 - 2749000",11,40,15,2009-02-06
"BP p.l.c.","United Kingdom","2500000 - 2749000",3,6,43,2008-11-14
"BVI Bundesverband Investment und Asset Management e.V.",Germany,"2500000 - 2749000",5,10,18,2010-09-14
"Bureau Européen des Unions de Consommateurs",Belgium,"2500000 - 2749000",9,24.75,196,2008-10-29
"Dow Europe GmbH",Switzerland,"2500000 - 2749000",2,4.5,51,2009-02-05
"Equinor ASA",Norway,"2500000 - 2749000",2,7.5,51,2009-01-19
"Gesamtverband der Deutschen Versicherungswirtschaft e.V.",Germany,"2500000 - 2749000",0,11,29,2008-08-01
Grayling,Belgium,"2500000 - 2749000",5,22,6,2010-04-27
"Vereniging FME-CWM",Netherlands,"2500000 - 2749000",0,12.5,0,2017-06-01
"British American Tobacco","United Kingdom","2250000 - 2499999",1,2.75,2,2009-01-21
"Centro Tecnológico del Mar - Fundación CETMAR",Spain,"2250000 - 2499999",0,39,0,2016-05-31
"EUREKA Association AISBL",Belgium,"2250000 - 2499999",0,13.5,0,2019-01-04
"European Cyclists' Federation",Belgium,"2250000 - 2499999",1,16.75,17,2011-04-27
FuelsEurope,Belgium,"2250000 - 2499999",10,8.25,35,2010-12-08
"Novartis International AG",Switzerland,"2250000 - 2499999",5,3.5,22,2009-04-27
"The Brookings Institution","United States","2250000 - 2499999",0,13.5,6,2015-05-18
"Weber Shandwick, Current Global, Golin brand names of CMGRP Belgium SCRL",Belgium,"2250000 - 2499999",5,21.5,22,2009-05-29
"Malaysian Employers Federation",Malaysia,2285220,0,0.75,0,2016-11-25
"Apple Inc.","United States","2000000 - 2249999",6,4,60,2013-06-20
"Bundesverband deutscher Banken e.V.",Germany,"2000000 - 2249999",3,13.75,51,2008-09-05
"Conseil des Communes et Régions d'Europe",Belgium,"2000000 - 2249999",1,19,10,2009-05-15
"Daimler Aktiengesellschaft",Germany,"2000000 - 2249999",5,8.5,41,2008-12-18
"ELECTRICITE DE FRANCE",France,"2000000 - 2249999",6,9,49,2009-06-12
"ENEL SpA",Italy,"2000000 - 2249999",1,6.25,75,2008-07-17
ENGIE,France,"2000000 - 2249999",5,11,71,2011-12-13
"FIPRA International Limited","United Kingdom","2000000 - 2249999",25,49.5,45,2010-10-06
GUBERNA,Belgium,"2000000 - 2249999",0,16.75,0,2010-08-31
"General Electric Company","United States","2000000 - 2249999",4,3.5,88,2008-12-24
"International Swaps and Derivatives Association","United States","2000000 - 2249999",3,6,10,2009-02-08
"Klaipėdos turizmo mokykla",Lithuania,"2000000 - 2249999",0,12.5,0,2017-04-26
"TOTAL S.E.",France,"2000000 - 2249999",5,3.5,28,2008-12-16
"The Royal United Services Institute for Defence and Security Studies","United Kingdom","2000000 - 2249999",0,12.25,0,2015-07-14
Airbus,Netherlands,"1750000 - 1999999",1,4.75,202,2008-11-26
"Amazon Europe Core SARL",Luxembourg,"1750000 - 1999999",0,4.25,85,2014-09-15
"Associazione Bancaria Italiana",Italy,"1750000 - 1999999",5,7.25,21,2013-07-12
"Bodensee-Stiftung (Lake Constance Foundation)",Germany,"1750000 - 1999999",0,12.75,0,2015-01-09
"Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.",Germany,"1750000 - 1999999",3,14,47,2008-12-01
"Centre for European Reform","United Kingdom","1750000 - 1999999",0,14,36,2015-01-19
"City of London Corporation","United Kingdom","1750000 - 1999999",0,9.5,11,2015-09-25
"Deutsche Bank AG",Germany,"1750000 - 1999999",4,3.75,75,2013-05-30
"Finance Denmark",Denmark,"1750000 - 1999999",0,10,13,2012-02-29
GlaxoSmithKline,"United Kingdom","1750000 - 1999999",6,5.75,11,2009-01-06
"IBM Corporation","United States","1750000 - 1999999",3,6.75,115,2009-01-08
"Intel Corporation","United States","1750000 - 1999999",2,8.25,22,2008-12-31
"LOGOS Public Affairs",Belgium,"1750000 - 1999999",4,18,3,2008-12-16
PlasticsEurope,Belgium,"1750000 - 1999999",5,8.75,19,2013-09-24
"QUALCOMM Incorporated","United States","1750000 - 1999999",3,9,49,2009-12-21
"The Applied Research Institute - Jerusalem","Palestinian Territories","1750000 - 1999999",0,19.75,0,2016-03-23
"Vodafone Belgium SA",Belgium,"1750000 - 1999999",2,5.5,117,2010-04-20
"Wirtschaftskammer Österreich",Austria,"1750000 - 1999999",0,15,36,2010-01-07
ZN,Belgium,"1750000 - 1999999",0,4.5,1,2020-09-09
"Sieć Badawcza Łukasiewicz - Instytut Metali Niezelaznych",Poland,1953100,0,16,0,2015-06-18
"Deutsche Post DHL Group",Germany,1948147,8,9.5,20,2011-01-27
"Deutscher Sparkassen-und Giroverband",Germany,1800000,1,9,39,2011-01-06
"Telefonica, S.A.",Spain,1800000,4,6,89,2008-06-23
"Kon. BLN-Schuttevaer",Netherlands,1750000,0,13.5,0,2019-03-10
"Organización Mundial de Ciudades y Gobiernos Locales Unidos - United Cities and Local Governments",Spain,"1500000 - 1749999",0,34.75,1,2016-11-10
"South Denmark European office",Denmark,"1500000 - 1749999",0,13,0,2017-10-11
"Syngenta Crop Protection AG",Switzerland,"1500000 - 1749999",1,2.5,18,2009-09-25
"Zentralverband des Deutschen Handwerks e.V.",Germany,"1500000 - 1749999",3,14,57,2008-12-15
"Bundesverband der Deutschen Volksbanken und Raiffeisenbanken",Germany,"1500000 - 1749000",0,13,16,2011-09-05
"Deutsche Telekom",Germany,"1500000 - 1749000",2,8,114,2009-11-06
Konrad-Adenauer-Stiftung,Germany,"1500000 - 1749000",4,12.5,13,2017-05-24
"Rolls-Royce plc","United Kingdom","1500000 - 1749000",0,2.5,21,2010-01-26
"Scotland Europa",Belgium,"1500000 - 1749000",8,8,3,2011-07-11
"acumen public affairs",Belgium,"1500000 - 1749000",10,15.5,1,2011-09-20
"SMEunited aisbl",Belgium,1591582,2,15,114,2009-02-20
"Rupprecht Consult - Forschung & Beratung GmbH",Germany,1546685,0,18.25,0,2011-05-06
"Landmark Public Policy Advisers Europe Ltd","United Kingdom",1500000,1,13.5,1,2011-10-27
