"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Covington & Burling LLP","United States","1000000 - 1249999",1,11.75,11,2015-05-15
"Squire Patton Boggs LLP","United States","900000 - 999999",3,13,5,2016-08-01
"Alber & Geiger",Germany,"300000 - 399999",7,9.75,7,2011-09-19
"Bird & Bird LLP","United Kingdom","200000 - 299999",1,2.5,2,2018-09-21
"Freshfields Bruckhaus Deringer LLP","United Kingdom","200000 - 299999",5,2.25,7,2015-10-22
"Becker Büttner Held PartGmbB",Germany,"100000 - 199999",0,4.5,0,2016-01-21
"Beiten Burkhardt",Germany,"100000 - 199999",0,2,2,2017-01-17
"Cabinet d'avocats SAMMAN",France,"100000 - 199999",1,1.5,1,2016-03-21
"DLA Piper UK LLP - Belgium",Belgium,"100000 - 199999",4,1,6,2014-10-03
"FAU Bernard",France,"100000 - 199999",0,5,0,2013-02-15
FIDAL,France,"100000 - 199999",0,1.5,9,2015-07-01
"Latham & Watkins LLP",Belgium,"100000 - 199999",0,0.75,3,2015-11-06
"Linklaters LLP","United Kingdom","100000 - 199999",5,4.25,3,2012-01-30
"Mayer Brown Europe-Brussels LLP",Belgium,"100000 - 199999",1,0.75,2,2015-02-20
"Norton Rose Fulbright LLP","United Kingdom","100000 - 199999",0,4.5,2,2016-09-21
"Steptoe & Johnson LLP","United States","100000 - 199999",0,1,6,2015-12-30
TERRAQUI,Spain,"100000 - 199999",0,0.5,0,2012-01-09
"Wiggin LLP","United Kingdom","100000 - 199999",0,0.75,1,2015-05-13
"Advokatfirman Vinge KB",Sweden,"50000 - 99999",0,1.25,1,2015-03-27
"Alinea, Avocats associés AARPI",France,"50000 - 99999",0,1.75,3,2012-10-05
"Arthur's Legal B.V.",Netherlands,"50000 - 99999",0,2,0,2015-12-20
COPPET,Belgium,"50000 - 99999",0,2.5,0,2015-07-16
"Cooley LLP","United States","50000 - 99999",0,0.5,0,2018-04-20
"Fragomen Global LLP","United States","50000 - 99999",0,2.25,0,2016-08-18
"Gianni Origoni Grippo Cappelli & Partners",Italy,"50000 - 99999",0,3,1,2017-11-20
"Gide Loyrette Nouel",France,"50000 - 99999",2,2,5,2016-04-19
"Grimaldi Studio legale",Italy,"50000 - 99999",0,2,0,2014-07-24
"Hogan Lovells International LLP","United Kingdom","50000 - 99999",0,1.25,0,2017-12-21
"K&L Gates GP - Brussels",Belgium,"50000 - 99999",0,3.5,2,2019-07-26
"LK Shields Solicitors LLP",Ireland,"50000 - 99999",0,1.25,0,2016-01-08
"McDermott Will & Emery LLP and its affiliates","United States","50000 - 99999",2,0.5,0,2019-12-05
"Mihut Law Office",Belgium,"50000 - 99999",0,2.25,0,2016-10-17
"PwC Legal",Belgium,"50000 - 99999",0,1.25,3,2015-05-28
"Rechtsanwälte Lenz und Johlen",Germany,"50000 - 99999",0,0.25,0,2015-04-23
"Studio Commerciale e Tributario Avizzano",Italy,"50000 - 99999",0,1.75,0,2020-06-18
"bxl-law SPRL",Belgium,"50000 - 99999",0,1,0,2013-01-18
"ARNAUD AVOCATS ASSOCIÉS",France,"25000 - 49999",0,2,0,2017-08-19
"Jones Day","United States","25000 - 49999",0,1,0,2016-11-17
"Lenz Caemmerer",Switzerland,"25000 - 49999",0,0.75,0,2019-08-06
"Maresca & Partners Studio Legale - Prof. Avv. Davide Maresca",Italy,"25000 - 49999",0,1,0,2019-04-30
