"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"I.R.I.S Solutions & Experts",Belgium,"> 10,000,000",1,5,0,2018-04-20
"FTI Consulting Belgium","United States","6750000 - 6999999",13,26,54,2010-04-01
Fleishman-Hillard,Belgium,"6750000 - 6999999",29,32.25,29,2009-03-17
"Burson Cohn & Wolfe Sprl",Belgium,"6250000 - 6499999",11,31,6,2008-10-31
"Interel European Affairs",Belgium,"5000000 - 5249999",22,25.5,11,2008-12-11
"Teneo Brussels","United States","4750000 - 4999999",18,30,23,2010-06-02
Kreab,Sweden,"4250000 - 4499999",8,30,65,2008-10-15
"Trinomics B.V.",Netherlands,"3750000 - 3999999",0,39,4,2017-08-24
"Brunswick Group LLP","United Kingdom","3500000 - 3749000",22,14.75,17,2010-11-02
"EUTOP Europe GmbH",Germany,"2500000 - 2749999",23,16,0,2016-12-22
"APCO Worldwide","United States","2500000 - 2749000",11,40,15,2009-02-06
Grayling,Belgium,"2500000 - 2749000",5,22,6,2010-04-27
"Weber Shandwick, Current Global, Golin brand names of CMGRP Belgium SCRL",Belgium,"2250000 - 2499999",5,21.5,22,2009-05-29
"FIPRA International Limited","United Kingdom","2000000 - 2249999",25,49.5,45,2010-10-06
"LOGOS Public Affairs",Belgium,"1750000 - 1999999",4,18,3,2008-12-16
ZN,Belgium,"1750000 - 1999999",0,4.5,1,2020-09-09
"acumen public affairs",Belgium,"1500000 - 1749000",10,15.5,1,2011-09-20
"Rupprecht Consult - Forschung & Beratung GmbH",Germany,1546685,0,18.25,0,2011-05-06
"Landmark Public Policy Advisers Europe Ltd","United Kingdom",1500000,1,13.5,1,2011-10-27
"Edelman Public Relations Worldwide",Belgium,"1250000 - 1499999",8,6.75,20,2012-01-23
"Hanover Communications International",Belgium,"1250000 - 1499999",2,16,4,2014-10-10
"Hill & Knowlton International Belgium",Belgium,"1250000 - 1499999",3,11.25,7,2008-12-22
"Hume Brophy",Ireland,"1250000 - 1499999",9,23,28,2009-01-07
NOVE,Belgium,"1250000 - 1499999",15,10,14,2014-01-14
"PahlConsulting, Lda",Portugal,"1250000 - 1499999",0,10,0,2019-09-26
"Political Intelligence",Belgium,"1250000 - 1499999",4,9,8,2011-11-29
"RPP Group",Belgium,"1250000 - 1499999",1,20,5,2010-10-01
"ARCTURUS GROUP",Belgium,"1000000 - 1249999",1,15,14,2011-09-16
"Avisa Partners",Belgium,"1000000 - 1249999",5,13,41,2009-05-07
EURALIA,Belgium,"1000000 - 1249999",0,9.5,1,2009-12-31
"G Plus Ltd (t/a Portland)","United Kingdom","1000000 - 1249999",6,21.25,44,2008-12-15
"Instinctif Partners","United Kingdom","1000000 - 1249999",5,9,0,2011-01-06
"Pen & Tec Consulting SLU",Spain,"1000000 - 1249999",0,20.25,0,2017-10-24
"Risk Control Limited","United Kingdom","1000000 - 1249999",0,0.25,0,2017-11-23
